ST,state,Y,X
AL,Alabama,-6,7.5
AK,Alaska,0,0.5
AZ,Arizona,-5,3.0
AR,Arkansas,-5,6.0
CA,California,-5,2.0
CO,Colorado,-4,3.5
CT,Connecticut,-3,11.0
DE,Delaware,-4,9.5
FL,Florida,-8,8.5
GA,Georgia,-7,8.0
HI,Hawaii,-8,0.5
ID,Idaho,-3,2.0
IL,Illinois,-3,6.0
IN,Indiana,-3,7.0
IA,Iowa,-3,5.0
KS,Kansas,-5,5.0
KY,Kentucky,-4,6.5
LA,Louisiana,-6,5.5
ME,Maine,0,11.5
MD,Maryland,-4,8.5
MA,Massachusetts,-2,10.5
MI,Michigan,-2,7.5
MN,Minnesota,-2,4.5
MS,Mississippi,-6,6.5
MO,Missouri,-4,5.5
MT,Montana,-2,2.5
NE,Nebraska ,-4,4.5
NV,Nevada ,-4,2.5
NH,New Hampshire ,-1,11.0
NJ,New Jersey ,-3,10.0
NM,New Mexico ,-6,3.5
NY,New York ,-2,9.5
NC,North Carolina ,-5,9.0
ND,North Dakota ,-2,3.5
OH,Ohio ,-3,8.0
OK,Oklahoma ,-6,4.5
OR,Oregon ,-4,1.5
PA,Pennsylvania,-3,9.0
RI,Rhode Island ,-2,11.5
SC,South Carolina ,-6,8.5
SD,South Dakota ,-3,4.0
TN,Tennessee ,-5,7.0
TX,Texas ,-7,4.0
UT,Utah ,-5,4.0
VT,Vermont ,-1,10.0
VA,Virginia ,-5,8.0
WA,Washington ,-2,1.5
WV,West Virginia ,-4,7.5
WI,Wisconsin ,-2,5.5
WY,Wyoming,-3,3.0
