year,ST,PVI,metric,dist_loss,porp_loss,porp_text,dist_text,lean,State,congress,Period,event,dist_loss_agg,dist_loss_net,status
2004,AL,R+8,0.58,-1.403358794880039,-0.2004798278400056,"20% Excluded, Against Dems",1.4 Dem Districts Lost,Dems Excluded,Alabama,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,AK,R+14,0.64,-0.3135087719298245,-0.3135087719298245,"31% Excluded, Against Dems",0.31 Dem Districts Lost,Dems Excluded,Alaska,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Single District
2004,AZ,R+1,0.51,-0.6799822996993665,-0.08499778746242083,"8% Excluded, Against Dems",0.68 Dem Districts Lost,Dems Excluded,Arizona,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,AR,R+3,0.53,-0.009354562645795816,-0.002338640661448954,"0% Excluded, Against Dems",0.01 Dem Districts Lost,Dems Excluded,Arkansas,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,CO,R+1,0.51,-0.4475270348204417,-0.06393243354577738,"6% Excluded, Against Dems",0.45 Dem Districts Lost,Dems Excluded,Colorado,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,FL,D+1,0.49,-1.8856397432363088,-0.07542558972945237,"8% Excluded, Against Dems",1.89 Dem Districts Lost,Dems Excluded,Florida,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,GA,R+6,0.56,-1.085328922974842,-0.083486840228834,"8% Excluded, Against Dems",1.09 Dem Districts Lost,Dems Excluded,Georgia,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,ID,R+19,0.69,-0.5735087719298246,-0.2867543859649123,"28% Excluded, Against Dems",0.57 Dem Districts Lost,Dems Excluded,Idaho,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,IN,R+7,0.57,-1.2448257269488083,-0.1383139696609787,"14% Excluded, Against Dems",1.24 Dem Districts Lost,Dems Excluded,Indiana,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
2004,KS,R+11,0.61,-1.0654006347410931,-0.26635015868527323,"27% Excluded, Against Dems",1.07 Dem Districts Lost,Dems Excluded,Kansas,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672,Multi District
