year,congress,ST,ST#,seat,is_GOP,PVI,metric
2010,112,AL,AL1,R,1,R+14,0.57
2010,112,AL,AL2,R,1,R+16,0.58
2010,112,AL,AL3,R,1,R+9,0.545
2010,112,AL,AL4,R,1,R+26,0.63
2010,112,AL,AL5,R,1,R+12,0.56
2010,112,AL,AL6,R,1,R+29,0.645
2010,112,AL,AL7,D,0,D+18,0.41
2010,112,AK,AKAL,R,1,R+13,0.565
2010,112,AZ,AZ1,R,1,R+6,0.53
2010,112,AZ,AZ2,R,1,R+13,0.565
2010,112,AZ,AZ3,R,1,R+9,0.545
2010,112,AZ,AZ4,D,0,D+13,0.435
2010,112,AZ,AZ5,R,1,R+5,0.525
2010,112,AZ,AZ6,R,1,R+15,0.575
2010,112,AZ,AZ7,D,0,D+6,0.47
2010,112,AZ,AZ8,D,0,R+4,0.52
2010,112,AR,AR1,R,1,R+8,0.54
2010,112,AR,AR2,R,1,R+5,0.525
2010,112,AR,AR3,R,1,R+16,0.58
2010,112,AR,AR4,D,0,R+7,0.535
2010,112,CA,CA1,D,0,D+13,0.435
2010,112,CA,CA2,R,1,R+11,0.555
2010,112,CA,CA3,R,1,R+6,0.53
2010,112,CA,CA4,R,1,R+10,0.55
2010,112,CA,CA5,D,0,D+15,0.425
2010,112,CA,CA6,D,0,D+23,0.385
2010,112,CA,CA7,D,0,D+19,0.405
2010,112,CA,CA8,D,0,D+35,0.325
2010,112,CA,CA9,D,0,D+37,0.315
2010,112,CA,CA10,D,0,D+11,0.445
2010,112,CA,CA11,D,0,R+1,0.505
2010,112,CA,CA12,D,0,D+23,0.385
2010,112,CA,CA13,D,0,D+22,0.39
2010,112,CA,CA14,D,0,D+21,0.395
2010,112,CA,CA15,D,0,D+15,0.425
2010,112,CA,CA16,D,0,D+16,0.42
2010,112,CA,CA17,D,0,D+19,0.405
2010,112,CA,CA18,D,0,D+4,0.48
2010,112,CA,CA19,R,1,R+9,0.545
2010,112,CA,CA20,D,0,D+5,0.475
2010,112,CA,CA21,R,1,R+13,0.565
2010,112,CA,CA22,R,1,R+16,0.58
2010,112,CA,CA23,D,0,D+12,0.44
2010,112,CA,CA24,R,1,R+4,0.52
2010,112,CA,CA25,R,1,R+6,0.53
2010,112,CA,CA26,R,1,R+3,0.515
2010,112,CA,CA27,D,0,D+13,0.435
2010,112,CA,CA28,D,0,D+23,0.385
2010,112,CA,CA29,D,0,D+14,0.43
2010,112,CA,CA30,D,0,D+18,0.41
2010,112,CA,CA31,D,0,D+29,0.355
2010,112,CA,CA32,D,0,D+15,0.425
2010,112,CA,CA33,D,0,D+35,0.325
2010,112,CA,CA34,D,0,D+22,0.39
2010,112,CA,CA35,D,0,D+31,0.345
2010,112,CA,CA36,D,0,D+12,0.44
2010,112,CA,CA37,D,0,D+26,0.37
2010,112,CA,CA38,D,0,D+18,0.41
2010,112,CA,CA39,D,0,D+12,0.44
2010,112,CA,CA40,R,1,R+8,0.54
2010,112,CA,CA41,R,1,R+10,0.55
2010,112,CA,CA42,R,1,R+10,0.55
2010,112,CA,CA43,D,0,D+13,0.435
2010,112,CA,CA44,R,1,R+6,0.53
2010,112,CA,CA45,R,1,R+3,0.515
2010,112,CA,CA46,R,1,R+6,0.53
2010,112,CA,CA47,D,0,D+4,0.48
