year,congress,ST,ST#,PVI,metric
2022,118,AL,AL1,R+32,0.66
2022,118,AL,AL2,R+34,0.67
2022,118,AL,AL3,R+39,0.7
2022,118,AL,AL4,R+65,0.82
2022,118,AL,AL5,R+32,0.66
2022,118,AL,AL6,R+36,0.68
2022,118,AL,AL7,D+29,0.36
2022,118,AR,AR1,R+44,0.72
2022,118,AR,AR2,R+17,0.59
2022,118,AR,AR3,R+29,0.64
2022,118,AR,AR4,R+39,0.7
2022,118,AZ,AZ1,R+7,0.53
2022,118,AZ,AZ2,R+15,0.58
2022,118,AZ,AZ3,D+44,0.28
2022,118,AZ,AZ4,D+1,0.49
2022,118,AZ,AZ5,R+24,0.62
2022,118,AZ,AZ6,R+7,0.54
2022,118,AZ,AZ7,D+27,0.37
2022,118,AZ,AZ8,R+22,0.61
2022,118,AZ,AZ9,R+33,0.67
2022,118,CA,CA1,R+24,0.62
2022,118,CA,CA2,D+44,0.28
2022,118,CA,CA3,R+8,0.54
2022,118,CA,CA4,D+31,0.34
2022,118,CA,CA5,R+17,0.59
2022,118,CA,CA6,D+14,0.43
2022,118,CA,CA7,D+34,0.33
2022,118,CA,CA8,D+5,0.25
2022,118,CA,CA9,D+8,0.46
2022,118,CA,CA10,D+34,0.33
2022,118,CA,CA11,D+71,0.14
2022,118,CA,CA12,D+77,0.12
2022,118,CA,CA13,D+7,0.46
2022,118,CA,CA14,D+42,0.29
2022,118,CA,CA15,D+54,0.23
2022,118,CA,CA16,D+49,0.25
2022,118,CA,CA17,D+45,0.27
2022,118,CA,CA18,D+42,0.29
2022,118,CA,CA19,D+35,0.32
2022,118,CA,CA20,R+31,0.65
2022,118,CA,CA21,D+16,0.42
2022,118,CA,CA22,D+1,0.45
2022,118,CA,CA23,R+15,0.58
2022,118,CA,CA24,D+24,0.38
2022,118,CA,CA25,D+12,0.44
2022,118,CA,CA26,D+15,0.43
2022,118,CA,CA27,D+8,0.46
2022,118,CA,CA28,D+3,0.35
2022,118,CA,CA29,D+51,0.25
2022,118,CA,CA30,D+45,0.28
2022,118,CA,CA31,D+29,0.35
2022,118,CA,CA32,D+38,0.31
2022,118,CA,CA33,D+23,0.39
2022,118,CA,CA34,D+63,0.18
2022,118,CA,CA35,D+26,0.37
2022,118,CA,CA36,D+4,0.3
2022,118,CA,CA37,D+72,0.14
2022,118,CA,CA38,D+28,0.36
2022,118,CA,CA39,D+23,0.38
2022,118,CA,CA40,R+4,0.52
2022,118,CA,CA41,R+7,0.53
2022,118,CA,CA42,D+44,0.28
2022,118,CA,CA43,D+63,0.19
2022,118,CA,CA44,D+47,0.26
2022,118,CA,CA45,D+5,0.48
2022,118,CA,CA46,D+29,0.35
2022,118,CA,CA47,D+6,0.47
2022,118,CA,CA48,R+19,0.59
2022,118,CA,CA49,D+5,0.47
2022,118,CA,CA50,D+27,0.36
2022,118,CA,CA51,D+22,0.39
2022,118,CA,CA52,D+36,0.32
2022,118,CO,CO1,D+55,0.23
2022,118,CO,CO2,D+32,0.34
2022,118,CO,CO3,R+15,0.57
2022,118,CO,CO4,R+26,0.63
2022,118,CO,CO5,R+18,0.59
2022,118,CO,CO6,D+16,0.42
2022,118,CO,CO7,D+6,0.47
2022,118,CO,CO8,R+3,0.51
2022,118,GA,GA1,R+2,0.6
2022,118,GA,GA2,D+4,0.48
2022,118,GA,GA3,R+38,0.69
2022,118,GA,GA4,D+5,0.25
2022,118,GA,GA5,D+6,0.2
2022,118,GA,GA6,R+24,0.62
2022,118,GA,GA7,D+16,0.42
2022,118,GA,GA8,R+35,0.67
2022,118,GA,GA9,R+46,0.73
2022,118,GA,GA10,R+31,0.66
2022,118,GA,GA11,R+24,0.62
2022,118,GA,GA12,R+17,0.59
2022,118,GA,GA13,D+52,0.24
2022,118,GA,GA14,R+45,0.73
2022,118,HI,HI1,D+32,0.34
2022,118,HI,HI2,D+32,0.34
