year,metric,is_GOP
2010,0.64,1
2010,0.66,1
2010,0.59,1
2010,0.76,1
2010,0.62,1
2010,0.79,1
2010,0.32,0
2010,0.63,1
2010,0.56,1
2010,0.63,1
2010,0.59,1
2010,0.37,0
2010,0.55,1
2010,0.65,1
2010,0.44,0
2010,0.54,0
2010,0.58,1
2010,0.55,1
2010,0.66,1
2010,0.57,0
2010,0.37,0
2010,0.61,1
2010,0.56,1
2010,0.6,1
2010,0.35,0
2010,0.27,0
2010,0.31,0
2010,0.15,0
2010,0.13,0
2010,0.39,0
2010,0.51,0
2010,0.27,0
2010,0.28,0
2010,0.29,0
2010,0.35,0
2010,0.34,0
2010,0.31,0
2010,0.46,0
2010,0.59,1
2010,0.45,0
2010,0.63,1
2010,0.66,1
2010,0.38,0
2010,0.54,1
2010,0.56,1
2010,0.53,1
2010,0.37,0
2010,0.27,0
2010,0.36,0
2010,0.32,0
2010,0.21,0
2010,0.35,0
2010,0.15,0
2010,0.28,0
2010,0.19,0
2010,0.38,0
2010,0.24,0
2010,0.32,0
2010,0.38,0
2010,0.58,1
2010,0.6,1
2010,0.6,1
2010,0.37,0
2010,0.56,1
2010,0.53,1
2010,0.56,1
2010,0.46,0
2010,0.56,1
2010,0.6,1
2010,0.53,1
2010,0.42,0
2010,0.59,1
2010,0.36,0
2010,0.29,0
2010,0.39,0
2010,0.55,1
2010,0.56,1
2010,0.64,1
2010,0.58,1
2010,0.46,0
2010,0.37,0
2010,0.44,0
2010,0.41,0
2010,0.45,0
2010,0.48,0
2010,0.43,0
2010,0.71,1
2010,0.56,1
2010,0.32,0
2010,0.67,1
2010,0.59,1
2010,0.6,1
2010,0.57,1
2010,0.52,1
2010,0.56,1
2010,0.51,1
2010,0.39,0
2010,0.56,1
2010,0.56,1
2010,0.61,1
2010,0.56,1
2010,0.55,1
2010,0.16,0
2010,0.53,1
2010,0.35,0
2010,0.37,0
2010,0.55,1
2010,0.49,1
2010,0.22,0
2010,0.54,1
2010,0.55,1
2010,0.66,1
2010,0.49,0
2010,0.69,1
2010,0.26,0
2010,0.24,0
2010,0.69,1
2010,0.66,1
2010,0.6,1
2010,0.78,1
2010,0.65,1
2010,0.7,1
2010,0.49,0
2010,0.35,0
2010,0.39,0
2010,0.36,0
2010,0.68,1
2010,0.67,1
2010,0.16,0
2010,0.14,0
2010,0.39,0
2010,0.18,0
2010,0.31,0
2010,0.5,1
2010,0.15,0
2010,0.51,1
2010,0.3,0
2010,0.44,1
2010,0.51,1
2010,0.47,0
2010,0.51,1
2010,0.51,1
2010,0.56,1
2010,0.52,1
2010,0.47,1
2010,0.56,1
2010,0.59,1
2010,0.42,0
2010,0.52,0
2010,0.64,1
2010,0.64,1
2010,0.67,1
2010,0.6,1
2010,0.36,0
2010,0.58,1
2010,0.56,1
2010,0.45,0
2010,0.43,0
2010,0.49,0
2010,0.5,1
2010,0.59,1
2010,0.73,1
2010,0.59,1
2010,0.53,1
2010,0.64,1
2010,0.65,1
2010,0.65,1
2010,0.48,0
2010,0.64,1
2010,0.66,1
2010,0.59,0
2010,0.74,1
2010,0.25,0
2010,0.62,1
2010,0.61,1
2010,0.64,1
2010,0.6,1
2010,0.64,1
2010,0.42,0
2010,0.47,0
2010,0.63,1
2010,0.43,0
2010,0.44,0
2010,0.19,0
2010,0.39,0
2010,0.63,1
2010,0.25,0
2010,0.29,0
2010,0.36,0
2010,0.41,0
2010,0.41,0
2010,0.36,0
2010,0.42,0
2010,0.43,0
2010,0.35,0
2010,0.18,0
2010,0.39,0
2010,0.45,0
2010,0.53,1
2010,0.57,1
2010,0.56,1
2010,0.53,1
2010,0.39,0
2010,0.5,1
2010,0.52,1
2010,0.52,1
2010,0.48,0
2010,0.55,1
2010,0.5,1
2010,0.38,0
2010,0.19,0
2010,0.16,0
2010,0.37,0
2010,0.51,0
2010,0.54,1
2010,0.5,1
2010,0.37,0
2010,0.27,0
2010,0.57,1
2010,0.55,0
2010,0.47,1
2010,0.64,1
2010,0.38,0
2010,0.65,1
2010,0.7,1
2010,0.23,0
2010,0.59,1
2010,0.43,0
2010,0.64,1
2010,0.4,0
2010,0.57,1
2010,0.67,1
2010,0.65,1
2010,0.59,1
2010,0.57,1
2010,0.61,1
2010,0.56,1
2010,0.74,1
2010,0.4,0
2010,0.55,1
2010,0.48,1
2010,0.5,1
2010,0.47,1
2010,0.38,0
2010,0.49,1
2010,0.51,1
2010,0.56,1
2010,0.57,1
2010,0.42,0
2010,0.53,1
2010,0.4,0
2010,0.41,0
2010,0.17,0
2010,0.57,1
2010,0.45,0
2010,0.29,0
2010,0.45,0
2010,0.56,1
2010,0.43,0
2010,0.5,0
2010,0.46,0
2010,0.54,1
2010,0.44,0
2010,0.38,0
2010,0.14,0
2010,0.24,0
2010,0.28,0
2010,0.45,1
2010,0.12,0
2010,0.12,0
2010,0.17,0
2010,0.54,1
2010,0.24,0
2010,0.09,0
2010,0.09,0
2010,0.32,0
2010,0.41,0
2010,0.53,1
2010,0.52,1
2010,0.44,0
2010,0.44,0
2010,0.51,0
2010,0.52,1
2010,0.47,1
2010,0.56,0
2010,0.46,0
2010,0.35,0
2010,0.55,1
2010,0.41,0
2010,0.52,1
2010,0.66,1
2010,0.42,0
2010,0.65,1
2010,0.68,1
2010,0.55,0
2010,0.52,0
2010,0.61,1
2010,0.67,1
2010,0.56,0
2010,0.34,0
2010,0.45,0
2010,0.6,1
2010,0.49,1
2010,0.63,1
2010,0.55,1
2010,0.65,1
2010,0.59,1
2010,0.52,1
2010,0.57,1
2010,0.64,1
2010,0.4,0
2010,0.42,0
2010,0.18,0
2010,0.49,1
2010,0.45,0
2010,0.53,1
2010,0.49,1
2010,0.54,1
2010,0.38,0
2010,0.57,1
2010,0.66,1
2010,0.64,0
2010,0.74,1
2010,0.68,1
2010,0.63,1
2010,0.42,0
2010,0.6,1
2010,0.31,0
2010,0.48,0
2010,0.49,0
2010,0.15,0
2010,0.12,0
2010,0.53,1
2010,0.56,0
2010,0.59,1
2010,0.46,1
2010,0.47,1
2010,0.48,1
2010,0.67,1
2010,0.58,1
2010,0.46,1
2010,0.51,0
2010,0.43,0
2010,0.31,0
2010,0.48,1
2010,0.58,1
2010,0.56,0
2010,0.56,1
2010,0.62,1
2010,0.37,0
2010,0.41,0
2010,0.6,1
2010,0.59,1
2010,0.67,1
2010,0.65,1
2010,0.57,1
2010,0.38,0
2010,0.59,1
2010,0.71,1
2010,0.66,1
2010,0.63,1
2010,0.63,1
2010,0.47,0
2010,0.63,1
2010,0.68,1
2010,0.56,1
2010,0.27,0
2010,0.71,1
2010,0.63,1
2010,0.64,1
2010,0.71,1
2010,0.67,1
2010,0.65,1
2010,0.63,1
2010,0.75,1
2010,0.28,0
2010,0.6,1
2010,0.78,1
2010,0.66,1
2010,0.79,1
2010,0.68,1
2010,0.47,0
2010,0.4,0
2010,0.7,1
2010,0.26,0
2010,0.76,1
2010,0.42,0
2010,0.64,1
2010,0.63,1
2010,0.54,1
2010,0.61,1
2010,0.44,0
2010,0.63,1
2010,0.52,1
2010,0.5,0
2010,0.42,0
2010,0.23,0
2010,0.64,1
2010,0.58,1
2010,0.71,1
2010,0.65,0
2010,0.76,1
2010,0.37,0
2010,0.57,1
2010,0.55,1
2010,0.3,0
2010,0.54,1
2010,0.55,1
2010,0.62,1
2010,0.59,1
2010,0.34,0
2010,0.61,1
2010,0.52,1
2010,0.48,0
2010,0.41,0
2010,0.47,0
2010,0.5,1
2010,0.63,1
2010,0.57,1
2010,0.45,0
2010,0.19,0
2010,0.47,1
2010,0.45,0
2010,0.59,1
2010,0.58,1
2010,0.56,0
2010,0.52,1
2010,0.35,0
2010,0.46,0
2010,0.28,0
2010,0.62,1
2010,0.54,1
2010,0.47,1
2010,0.52,1
2010,0.7,1
