year,metric
2022,0.59
2022,0.66
2022,0.67
2022,0.7
2022,0.82
2022,0.66
2022,0.68
2022,0.36
2022,0.72
2022,0.59
2022,0.64
2022,0.7
2022,0.67
2022,0.61
2022,0.37
2022,0.54
2022,0.62
2022,0.49
2022,0.28
2022,0.58
2022,0.53
2022,0.28
2022,0.35
2022,0.31
2022,0.39
2022,0.18
2022,0.37
2022,0.3
2022,0.14
2022,0.36
2022,0.38
2022,0.52
2022,0.39
2022,0.28
2022,0.19
2022,0.26
2022,0.48
2022,0.35
2022,0.47
2022,0.59
2022,0.47
2022,0.36
2022,0.25
2022,0.32
2022,0.53
2022,0.35
2022,0.43
2022,0.34
2022,0.62
2022,0.28
2022,0.54
2022,0.46
2022,0.59
2022,0.33
2022,0.25
2022,0.46
2022,0.33
2022,0.14
2022,0.12
2022,0.46
2022,0.43
2022,0.23
2022,0.25
2022,0.27
2022,0.29
2022,0.32
2022,0.65
2022,0.44
2022,0.42
2022,0.45
2022,0.58
2022,0.38
2022,0.29
2022,0.51
2022,0.47
2022,0.42
2022,0.57
2022,0.63
2022,0.34
2022,0.23
2022,0.59
2022,0.4
2022,0.49
2022,0.44
2022,0.38
2022,0.49
2022,0.44
2022,0.62
2022,0.66
2022,0.73
2022,0.59
2022,0.73
2022,0.24
2022,0.42
2022,0.62
2022,0.2
2022,0.25
2022,0.6
2022,0.69
2022,0.48
2022,0.67
2022,0.34
2022,0.34
2022,0.64
2022,0.53
2022,0.52
2022,0.51
2022,0.73
2022,0.63
2022,0.45
2022,0.48
2022,0.63
2022,0.71
2022,0.47
2022,0.73
2022,0.39
2022,0.47
2022,0.44
2022,0.15
2022,0.47
2022,0.3
2022,0.32
2022,0.28
2022,0.31
2022,0.31
2022,0.31
2022,0.68
2022,0.31
2022,0.68
2022,0.65
2022,0.67
2022,0.67
2022,0.63
2022,0.47
2022,0.61
2022,0.67
2022,0.6
2022,0.52
2022,0.64
2022,0.57
2022,0.8
2022,0.69
2022,0.4
2022,0.72
2022,0.67
2022,0.33
2022,0.42
2022,0.13
2022,0.35
2022,0.25
2022,0.36
2022,0.37
2022,0.37
2022,0.39
2022,0.38
2022,0.44
2022,0.26
2022,0.19
2022,0.42
2022,0.45
2022,0.54
2022,0.3
2022,0.42
2022,0.55
2022,0.67
2022,0.27
2022,0.28
2022,0.53
2022,0.51
2022,0.43
2022,0.4
2022,0.64
2022,0.54
2022,0.49
2022,0.66
2022,0.62
2022,0.52
2022,0.68
2022,0.62
2022,0.58
2022,0.34
2022,0.43
2022,0.5
2022,0.57
2022,0.22
2022,0.68
2022,0.39
2022,0.64
2022,0.71
2022,0.55
2022,0.65
2022,0.57
2022,0.44
2022,0.51
2022,0.37
2022,0.55
2022,0.71
2022,0.58
2022,0.69
2022,0.46
2022,0.62
2022,0.35
2022,0.64
2022,0.47
2022,0.38
2022,0.7
2022,0.59
2022,0.51
2022,0.78
2022,0.45
2022,0.21
2022,0.42
2022,0.27
2022,0.35
2022,0.42
2022,0.4
2022,0.52
2022,0.46
2022,0.55
2022,0.64
2022,0.47
2022,0.48
2022,0.48
2022,0.44
2022,0.48
2022,0.57
2022,0.49
2022,0.47
2022,0.45
2022,0.49
2022,0.48
2022,0.44
2022,0.4
2022,0.63
2022,0.62
2022,0.42
2022,0.32
2022,0.44
2022,0.14
2022,0.61
2022,0.12
2022,0.17
2022,0.47
2022,0.24
2022,0.23
2022,0.47
2022,0.23
2022,0.18
2022,0.38
2022,0.18
2022,0.46
2022,0.25
2022,0.45
2022,0.6
2022,0.62
2022,0.77
2022,0.73
2022,0.68
2022,0.64
2022,0.33
2022,0.64
2022,0.29
2022,0.46
2022,0.48
2022,0.47
2022,0.75
2022,0.68
2022,0.42
2022,0.62
2022,0.5
2022,0.7
2022,0.63
2022,0.36
2022,0.7
2022,0.54
2022,0.52
2022,0.45
2022,0.43
2022,0.11
2022,0.5
2022,0.29
2022,0.55
2022,0.34
2022,0.42
2022,0.63
2022,0.38
2022,0.72
2022,0.63
2022,0.6
2022,0.59
2022,0.63
2022,0.66
2022,0.72
2022,0.6
2022,0.29
2022,0.58
2022,0.69
2022,0.68
2022,0.8
2022,0.68
2022,0.73
2022,0.65
2022,0.61
2022,0.64
2022,0.47
2022,0.32
2022,0.25
2022,0.64
2022,0.38
2022,0.28
2022,0.41
2022,0.31
2022,0.67
2022,0.28
2022,0.63
2022,0.65
2022,0.75
2022,0.65
2022,0.56
2022,0.63
2022,0.62
2022,0.63
2022,0.62
2022,0.38
2022,0.63
2022,0.25
2022,0.62
2022,0.7
2022,0.62
2022,0.61
2022,0.68
2022,0.5
2022,0.33
2022,0.64
2022,0.28
2022,0.77
2022,0.37
2022,0.62
2022,0.73
2022,0.62
2022,0.62
2022,0.63
2022,0.65
2022,0.33
2022,0.46
2022,0.73
2022,0.49
2022,0.64
2022,0.53
2022,0.57
2022,0.34
2022,0.25
2022,0.35
2022,0.57
2022,0.35
2022,0.56
2022,0.62
2022,0.58
2022,0.45
2022,0.39
2022,0.5
2022,0.31
2022,0.45
2022,0.42
2022,0.16
2022,0.67
2022,0.67
2022,0.76
2022,0.6
2022,0.59
2022,0.5
2022,0.6
2022,0.55
2022,0.29
2022,0.56
2022,0.63
2022,0.6
2022,0.28
2022,0.38
2022,0.58
2022,0.58
2022,0.62
2022,0.52
2022,0.55
2022,0.58
2022,0.52
2022,0.68
2022,0.22
2022,0.54
2022,0.64
2022,0.63
2022,0.64
2022,0.69
2022,0.3
2022,0.7
2022,0.54
2022,0.61
