year,ST,PVI,metric
2016,AL,R+14,0.64
2016,AK,R+9,0.59
2016,AZ,R+5,0.55
2016,AR,R+15,0.65
2016,CA,D+12,0.38
2016,CO,D+1,0.49
2016,CT,D+6,0.44
2016,DE,D+6,0.44
2016,FL,R+2,0.52
2016,GA,R+5,0.55
2016,HI,D+18,0.32
2016,ID,R+19,0.69
2016,IL,D+7,0.43
2016,IN,R+9,0.59
2016,IA,R+3,0.53
2016,KS,R+13,0.63
2016,KY,R+15,0.65
2016,LA,R+11,0.61
2016,ME,D+3,0.47
2016,MD,D+12,0.38
2016,MA,D+12,0.38
2016,MI,D+1,0.49
2016,MN,D+1,0.49
2016,MS,R+9,0.59
2016,MO,R+9,0.59
2016,MT,R+11,0.61
2016,NE,R+14,0.64
2016,NV,D+1,0.49
2016,NH,R+0,0.5
2016,NJ,D+7,0.43
2016,NM,D+3,0.47
2016,NY,D+12,0.38
2016,NC,R+3,0.53
2016,ND,R+17,0.67
2016,OH,R+3,0.53
2016,OK,R+20,0.7
2016,OR,D+5,0.45
2016,PA,R+0,0.5
2016,RI,D+10,0.4
2016,SC,R+8,0.58
2016,SD,R+14,0.64
2016,TN,R+14,0.64
2016,TX,R+8,0.58
2016,UT,R+20,0.7
2016,VT,D+15,0.35
2016,VA,D+1,0.49
2016,WA,D+7,0.43
2016,WV,R+19,0.69
2016,WI,R+0,0.5
2016,WY,R+25,0.75
