ST,PVI,metric
AL,R+15,0.575
AK,R+9,0.545
AZ,R+3,0.515
AR,R+16,0.58
CA,D+14,0.43
CO,D+3,0.485
CT,D+7,0.465
DE,D+6,0.47
FL,R+3,0.515
GA,R+3,0.515
HI,D+15,0.425
ID,R+19,0.595
IL,D+7,0.465
IN,R+11,0.555
IA,R+6,0.53
KS,R+11,0.555
KY,R+16,0.58
LA,R+12,0.56
ME,D+1,0.495
MD,D+14,0.43
MA,D+14,0.43
MI,R+1,0.505
MN,D+1,0.495
MS,R+10,0.55
MO,R+11,0.555
MT,R+11,0.555
NE,R+13,0.565
NV,R+0,0.5
NH,R+0,0.5
NJ,D+6,0.47
NM,D+3,0.485
NY,D+10,0.45
NC,R+3,0.515
ND,R+20,0.6
OH,R+6,0.53
OK,R+20,0.6
OR,D+6,0.47
PA,R+2,0.51
RI,D+8,0.46
SC,R+8,0.54
SD,R+16,0.58
TN,R+14,0.57
TX,R+5,0.525
UT,R+13,0.565
VT,D+15,0.425
VA,D+2,0.49
WA,D+8,0.46
WV,R+23,0.615
WI,R+2,0.51
WY,R+26,0.63
