year,congress,ST,ST#,PVI,metric
,,AK,AKAL,R+9,0.59
2022.0,118.0,AL,AL1,R+16,0.66
2022.0,118.0,AL,AL2,R+17,0.67
2022.0,118.0,AL,AL3,R+20,0.7
2022.0,118.0,AL,AL4,R+32,0.82
2022.0,118.0,AL,AL5,R+16,0.66
2022.0,118.0,AL,AL6,R+18,0.68
2022.0,118.0,AL,AL7,D+14,0.36
2022.0,118.0,AR,AR1,R+22,0.72
2022.0,118.0,AR,AR2,R+9,0.59
2022.0,118.0,AR,AR3,R+14,0.64
2022.0,118.0,AR,AR4,R+20,0.7
2022.0,118.0,AZ,AZ9,R+17,0.67
2022.0,118.0,AZ,AZ8,R+11,0.61
2022.0,118.0,AZ,AZ7,D+13,0.37
2022.0,118.0,AZ,AZ6,R+4,0.54
2022.0,118.0,AZ,AZ5,R+12,0.62
2022.0,118.0,AZ,AZ4,D+1,0.49
2022.0,118.0,AZ,AZ3,D+22,0.28
2022.0,118.0,AZ,AZ2,R+8,0.58
2022.0,118.0,AZ,AZ1,R+3,0.53
2022.0,118.0,CA,CA29,D+25,0.25
2022.0,118.0,CA,CA30,D+22,0.28
2022.0,118.0,CA,CA31,D+15,0.35
2022.0,118.0,CA,CA32,D+19,0.31
2022.0,118.0,CA,CA33,D+11,0.39
2022.0,118.0,CA,CA35,D+13,0.37
2022.0,118.0,CA,CA36,D+20,0.3
2022.0,118.0,CA,CA37,D+36,0.14
2022.0,118.0,CA,CA38,D+14,0.36
2022.0,118.0,CA,CA39,D+12,0.38
2022.0,118.0,CA,CA40,R+2,0.52
2022.0,118.0,CA,CA50,D+14,0.36
2022.0,118.0,CA,CA42,D+22,0.28
2022.0,118.0,CA,CA43,D+31,0.19
2022.0,118.0,CA,CA44,D+24,0.26
2022.0,118.0,CA,CA45,D+2,0.48
2022.0,118.0,CA,CA46,D+15,0.35
2022.0,118.0,CA,CA47,D+3,0.47
2022.0,118.0,CA,CA48,R+9,0.59
2022.0,118.0,CA,CA49,D+3,0.47
2022.0,118.0,CA,CA28,D+15,0.35
2022.0,118.0,CA,CA51,D+11,0.39
2022.0,118.0,CA,CA52,D+18,0.32
2022.0,118.0,CA,CA41,R+3,0.53
2022.0,118.0,CA,CA27,D+4,0.46
2022.0,118.0,CA,CA34,D+32,0.18
2022.0,118.0,CA,CA25,D+6,0.44
2022.0,118.0,CA,CA1,R+12,0.62
2022.0,118.0,CA,CA2,D+22,0.28
2022.0,118.0,CA,CA3,R+4,0.54
2022.0,118.0,CA,CA4,D+16,0.34
2022.0,118.0,CA,CA5,R+9,0.59
