year,congress,ST,ST#,PVI,metric
2022.0,118.0,XNC,XNC14,R+6,0.56
2022.0,118.0,XNC,XNC1,R+9,0.59
2022.0,118.0,XNC,XNC2,D+0,0.5
2022.0,118.0,XNC,XNC3,R+10,0.6
2022.0,118.0,XNC,XNC4,R+5,0.55
2022.0,118.0,XNC,XNC5,D+12,0.38
2022.0,118.0,XNC,XNC6,D+21,0.29
2022.0,118.0,XNC,XNC7,R+10,0.6
2022.0,118.0,XNC,XNC8,R+10,0.6
2022.0,118.0,XNC,XNC9,D+22,0.28
2022.0,118.0,XNC,XNC10,R+13,0.63
2022.0,118.0,XNC,XNC12,R+8,0.58
2022.0,118.0,XNC,XNC13,R+12,0.62
2022.0,118.0,XNC,XNC11,R+8,0.58
2022.0,118.0,XOH,XOH15,R+5,0.55
2022.0,118.0,XOH,XOH2,R+20,0.7
2022.0,118.0,XOH,XOH3,D+20,0.3
2022.0,118.0,XOH,XOH4,R+19,0.69
2022.0,118.0,XOH,XOH5,R+14,0.64
2022.0,118.0,XOH,XOH6,R+13,0.63
2022.0,118.0,XOH,XOH7,R+11,0.61
2022.0,118.0,XOH,XOH8,R+14,0.64
2022.0,118.0,XOH,XOH9,R+4,0.54
2022.0,118.0,XOH,XOH10,R+4,0.54
2022.0,118.0,XOH,XOH11,D+28,0.22
2022.0,118.0,XOH,XOH12,R+18,0.68
2022.0,118.0,XOH,XOH13,R+2,0.52
2022.0,118.0,XOH,XOH1,R+2,0.52
2022.0,118.0,XOH,XOH14,R+8,0.58
