year,congress,ST,ST#,PVI,metric
2022,118,NH,NH1,R+4,0.54
2022,118,NH,NH2,D+5,0.45
2022,118,MO,MO1,D+26,0.24
2022,118,MO,MO2,R+8,0.58
2022,118,MO,MO3,R+17,0.67
2022,118,MO,MO4,R+22,0.72
2022,118,MO,MO5,D+10,0.4
2022,118,MO,MO6,R+21,0.71
2022,118,MO,MO7,R+24,0.74
2022,118,MO,MO8,R+28,0.78
2022,118,FL,FL1,R+19,0.69
2022,118,FL,FL2,R+8,0.58
2022,118,FL,FL3,R+10,0.6
2022,118,FL,FL4,R+19,0.69
2022,118,FL,FL5,D+3,0.47
2022,118,FL,FL6,R+13,0.63
2022,118,FL,FL7,R+5,0.55
2022,118,FL,FL8,R+12,0.62
2022,118,FL,FL9,D+8,0.42
2022,118,FL,FL10,D+11,0.39
2022,118,FL,FL11,R+13,0.63
2022,118,FL,FL12,R+15,0.65
2022,118,FL,FL13,R+1,0.51
2022,118,FL,FL14,D+2,0.48
2022,118,FL,FL15,R+2,0.52
2022,118,FL,FL16,R+11,0.61
2022,118,FL,FL17,R+8,0.58
2022,118,FL,FL18,R+15,0.65
2022,118,FL,FL19,R+13,0.63
2022,118,FL,FL20,D+25,0.25
2022,118,FL,FL21,R+7,0.57
2022,118,FL,FL22,D+7,0.43
2022,118,FL,FL23,D+4,0.46
2022,118,FL,FL24,D+25,0.25
2022,118,FL,FL25,D+9,0.41
2022,118,FL,FL26,R+7,0.57
2022,118,FL,FL27,D+0,0.5
2022,118,FL,FL28,R+2,0.52
