year,ST,PVI,metric,dist_loss,porp_loss,sing_dist
2012,AL,R+14,0.64,-1.3384844759284187,-0.1912120679897741,Multi-District
2012,AK,R+12,0.62,-0.33350877192982453,-0.33350877192982453,Single District
2012,AZ,R+7,0.57,-0.7619334675302438,-0.0846592741700271,Multi-District
2012,AR,R+14,0.64,-1.254035087719298,-0.3135087719298245,Multi-District
2012,CA,D+9,0.41,7.948890994679417,0.14997907537130975,Multi-District
2012,CO,D+1,0.49,0.21607661376972453,0.03086808768138922,Multi-District
2012,CT,D+7,0.43,1.652285979174135,0.330457195834827,Multi-District
2012,DE,D+8,0.42,0.41555061179087877,0.41555061179087877,Single District
2012,FL,R+2,0.52,-2.0813655544078973,-0.07708761312621842,Multi-District
2012,GA,R+6,0.56,-1.8415549391179828,-0.13153963850842734,Multi-District
2012,HI,D+20,0.3,0.5911012235817575,0.29555061179087877,Multi-District
2012,ID,R+18,0.68,-0.547017543859649,-0.2735087719298245,Multi-District
2012,IL,D+8,0.42,2.276250503660064,0.126458361314448,Multi-District
2012,IN,R+5,0.55,-1.589343673190558,-0.17659374146561754,Multi-District
2012,IA,D+1,0.49,0.44302165159285645,0.11075541289821411,Multi-District
2012,KS,R+12,0.62,-1.236409809053019,-0.3091024522632547,Multi-District
2012,KY,R+13,0.63,-1.2215350877192979,-0.20358918128654965,Multi-District
2012,LA,R+12,0.62,-1.144975703998595,-0.19082928399976584,Multi-District
2012,ME,D+6,0.44,0.5368409343715239,0.26842046718576196,Multi-District
2012,MD,D+10,0.4,2.0367442870245696,0.2545930358780712,Multi-District
2012,MA,D+10,0.4,3.1477468147656675,0.3497496460850742,Multi-District
2012,MI,D+4,0.46,-0.3628904073798003,-0.025920743384271448,Multi-District
2012,MN,D+2,0.48,-0.20229659786310616,-0.02528707473288827,Multi-District
2012,MS,R+9,0.59,-0.5514669320687706,-0.13786673301719266,Multi-District
2012,MO,R+5,0.55,-1.3255020197880683,-0.16568775247350853,Multi-District
2012,MT,R+7,0.57,-0.2393922651933702,-0.2393922651933702,Single District
2012,NE,R+12,0.62,-0.882499597617898,-0.2941665325392993,Multi-District
2012,NV,D+2,0.48,0.5162193222072646,0.12905483055181616,Multi-District
2012,NH,D+1,0.49,0.13464213854555906,0.06732106927277953,Multi-District
2012,NJ,D+6,0.44,1.077780961056848,0.08981508008807067,Multi-District
2012,NM,D+4,0.46,0.5215723593363624,0.17385745311212078,Multi-District
2012,NY,D+11,0.39,4.126548512789871,0.15283513010332855,Multi-District
2012,NC,R+3,0.53,-2.6539864957164863,-0.20415280736280664,Multi-District
2012,ND,R+10,0.6,-0.35350877192982455,-0.35350877192982455,Single District
2012,OH,R+1,0.51,-2.145016218942162,-0.13406351368388514,Multi-District
2012,OK,R+19,0.69,-1.3640350877192984,-0.27280701754385966,Multi-District
2012,OR,D+5,0.45,0.5063071507903092,0.10126143015806184,Multi-District
2012,PA,D+1,0.49,-2.2027184670407944,-0.12237324816893302,Multi-District
2012,RI,D+11,0.39,0.7711012235817576,0.3855506117908788,Multi-District
2012,SC,R+8,0.58,-1.521385513051614,-0.217340787578802,Multi-District
2012,SD,R+10,0.6,-0.35350877192982455,-0.35350877192982455,Single District
2012,TN,R+12,0.62,-1.3096403066817732,-0.14551558963130815,Multi-District
2012,TX,R+10,0.6,-2.53578591662745,-0.07043849768409584,Multi-District
2012,UT,R+22,0.72,-1.0270175438596487,-0.2567543859649122,Multi-District
2012,VT,D+16,0.34,0.3355506117908788,0.3355506117908788,Single District
2012,VA,R+0,0.5,-1.0848927559748374,-0.09862661417953067,Multi-District
2012,WA,D+5,0.45,1.0597231802714724,0.10597231802714724,Multi-District
2012,WV,R+13,0.63,-0.9705263157894737,-0.3235087719298246,Multi-District
2012,WI,D+2,0.48,-0.04531122306802704,-0.00566390288350338,Multi-District
2012,WY,R+22,0.72,-0.28,-0.28,Single District
