year,ST,PVI,metric,dist_loss,porp_loss
2020,AL,R+15,0.65,-1.2219932478582436,-0.1745704639797491
2020,AK,R+9,0.59,,
2020,AZ,R+3,0.53,-0.901064474771851,-0.10011827497465012
2020,AR,R+16,0.66,-1.2205263157894737,-0.3051315789473684
2020,CA,D+14,0.36,10.037207296403054,0.19302321723852026
2020,CO,D+3,0.47,0.18933355307429656,0.02366669413428707
2020,CT,D+7,0.43,1.3545797524496432,0.27091595048992867
2020,DE,D+6,0.44,,
2020,FL,R+3,0.53,,
2020,GA,R+3,0.53,-1.6021698573463699,-0.11444070409616927
2020,HI,D+15,0.35,0.6911012235817575,0.34555061179087876
2020,ID,R+19,0.69,-0.5735087719298246,-0.2867543859649123
2020,IL,D+7,0.43,3.0638394068206054,0.18022584746003562
2020,IN,R+11,0.61,-1.4425319184784549,-0.16028132427538389
2020,IA,R+6,0.56,-0.6473637034806083,-0.16184092587015209
2020,KS,R+11,0.61,-1.0743724696356272,-0.2685931174089068
2020,KY,R+16,0.66,-0.7608591972621408,-0.1268098662103568
2020,LA,R+12,0.62,,
2020,ME,D+1,0.49,0.1661583465975086,0.0830791732987543
2020,MD,D+14,0.36,1.9109785753907658,0.23887232192384572
2020,MA,D+14,0.36,3.2044048943270296,0.35604498825855885
2020,MI,R+1,0.51,-0.33578273878214926,-0.025829441444780714
2020,MN,D+1,0.49,-0.20139298084335522,-0.025174122605419402
2020,MS,R+10,0.6,-0.5114669320687706,-0.12786673301719265
2020,MO,R+11,0.61,,
2020,MT,R+11,0.61,-0.5429010371231946,-0.2714505185615973
2020,NE,R+13,0.63,-0.6553455066237022,-0.2184485022079007
2020,NV,R+0,0.5,0.22740918869122773,0.05685229717280693
2020,NH,R+0,0.5,,
2020,NJ,D+6,0.44,2.2823376824009523,0.19019480686674603
2020,NM,D+3,0.47,0.6879946579001438,0.22933155263338126
2020,NY,D+10,0.4,4.835032206189779,0.18596277716114534
2020,NC,R+3,0.53,,
2020,ND,R+20,0.7,,
2020,OH,R+6,0.56,,
2020,OK,R+20,0.7,-1.360526315789473,-0.2721052631578946
2020,OR,D+6,0.44,0.8978616474720149,0.14964360791200249
2020,PA,R+2,0.52,-0.16023236386924644,-0.009425433168779203
2020,RI,D+8,0.42,0.8311012235817575,0.41555061179087877
2020,SC,R+8,0.58,-1.7119932478582438,-0.2445704639797491
2020,SD,R+16,0.66,,
2020,TN,R+14,0.64,-2.0119932478582427,-0.22355480531758254
2020,TX,R+5,0.55,-2.688920513450128,-0.07076106614342442
2020,UT,R+13,0.63,-1.294035087719298,-0.3235087719298245
2020,VT,D+15,0.35,,
2020,VA,D+2,0.48,0.4432693599007127,0.04029721453642843
2020,WA,D+8,0.42,0.8325088842823147,0.08325088842823147
2020,WV,R+23,0.73,-0.4470175438596491,-0.22350877192982455
2020,WI,R+2,0.52,,
2020,WY,R+26,0.76,,
