ST,PVI,Share GOP,dist_loss,porp_loss,State,row,column,Population Excluded,Districts Lost,State Status,porp_loss_bin,dist_loss_112,porp_loss_112,Population Excluded (112th),Districts Lost (112th),State Status (112th),porp_loss_bin_112,Change
AL,R+14,0.64,-1.3384844759284187,-0.1912120679897741,Alabama,-6,7.5,"19% Excluded, Against Dems",1.34 Dem Districts Lost,Map Completed,-2,-1.408484475928419,-0.20121206798977415,"2% Excluded, Against Dems",1.41 Dem Districts Lost,Multi-District,-2,Less Partisan Than 2010
AK,R+12,0.62,-0.33350877192982453,-0.33350877192982453,Alaska,0,0.5,"33% Excluded, Against Dems",0.33 Dem Districts Lost,Single District,-3,-0.3235087719298245,-0.3235087719298245,"32% Excluded, Against Dems",0.32 Dem Districts Lost,Single District,-3,More Partisan Than 2010
AZ,R+7,0.57,-0.7619334675302438,-0.0846592741700271,Arizona,-5,3.0,"8% Excluded, Against Dems",0.76 Dem Districts Lost,Map Completed,-1,-0.8373370473345547,-0.10466713091681934,"1% Excluded, Against Dems",0.84 Dem Districts Lost,Multi-District,-1,Less Partisan Than 2010
AR,R+14,0.64,-1.254035087719298,-0.3135087719298245,Arkansas,-5,6.0,"31% Excluded, Against Dems",1.25 Dem Districts Lost,Map Completed,-3,-1.1658020742463893,-0.2914505185615973,"28% Excluded, Against Dems",1.17 Dem Districts Lost,Multi-District,-3,More Partisan Than 2010
CA,D+9,0.41,7.948890994679417,0.14997907537130975,California,-5,2.0,"15% Excluded, Against GOP",7.95 GOP Districts Lost,Map Completed,1,5.163174889478256,0.09741839414109917,"1% Excluded, Against GOP",5.16 GOP Districts Lost,Multi-District,1,More Partisan Than 2010
CO,D+1,0.49,0.21607661376972453,0.03086808768138922,Colorado,-4,3.5,"3% Excluded, Against GOP",0.22 GOP Districts Lost,Map Completed,0,-0.22220085066463202,-0.031742978666376,"3% Excluded, Against Dems",0.22 Dem Districts Lost,Multi-District,0,Less Partisan Than 2010
CT,D+7,0.43,1.652285979174135,0.330457195834827,Connecticut,-3,11.0,"33% Excluded, Against GOP",1.65 GOP Districts Lost,Map Completed,3,1.6401585000777268,0.3280317000155454,"33% Excluded, Against GOP",1.64 GOP Districts Lost,Multi-District,3,More Partisan Than 2010
DE,D+8,0.42,0.41555061179087877,0.41555061179087877,Delaware,-4,9.5,"42% Excluded, Against GOP",0.42 GOP Districts Lost,Single District,4,0.3854140127388535,0.3854140127388535,"39% Excluded, Against GOP",0.39 GOP Districts Lost,Single District,4,More Partisan Than 2010
FL,R+2,0.52,-2.0813655544078973,-0.07708761312621842,Florida,-8,8.5,"8% Excluded, Against Dems",2.08 Dem Districts Lost,Map Completed,-1,-2.210176526470457,-0.08840706105881829,"9% Excluded, Against Dems",2.21 Dem Districts Lost,Multi-District,-1,Less Partisan Than 2010
GA,R+6,0.56,-1.8415549391179828,-0.13153963850842734,Georgia,-7,8.0,"13% Excluded, Against Dems",1.84 Dem Districts Lost,Map Completed,-1,-1.0153956637979826,-0.07810735875369097,"8% Excluded, Against Dems",1.02 Dem Districts Lost,Multi-District,-1,More Partisan Than 2010
