ST,PVI,Share GOP,dist_loss,porp_loss,State,row,column,Population Excluded,Districts Lost,State Status,porp_loss_bin,Lean,dist_loss_117,porp_loss_117,Population Excluded (117th),Districts Lost (117th),State Status (117th),porp_loss_bin_117,Lean (117th),Change
AL,R+15,0.65,-1.2219932478582436,-0.1745704639797491,Alabama,-6,7.5,"17% Excluded, Against Dems",1.22 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-1.2684844759284193,-0.18121206798977418,"18% Excluded, Against Dems",1.27 Dem Districts Lost,Multi-District,-2,Dems Excluded,Less Partisan Than 2020
AK,R+9,0.59,-0.36350877192982456,-0.36350877192982456,Alaska,0,0.5,"36% Excluded, Against Dems",0.36 Dem Districts Lost,Single District,-4.0,Dems Excluded,-0.36350877192982456,-0.36350877192982456,"36% Excluded, Against Dems",0.36 Dem Districts Lost,Single District,-4,Dems Excluded,No Change Since 2020
AZ,R+3,0.53,-0.901064474771851,-0.10011827497465012,Arizona,-5,3.0,"10% Excluded, Against Dems",0.9 Dem Districts Lost,Map Completed,-1.0,Dems Excluded,0.04768619505410854,0.0052984661171231705,"1% Excluded, Against GOP",0.05 GOP Districts Lost,Multi-District,0,GOP Excluded,More Partisan Than 2020
AR,R+16,0.66,-1.2205263157894737,-0.3051315789473684,Arkansas,-5,6.0,"31% Excluded, Against Dems",1.22 Dem Districts Lost,Map Completed,-3.0,Dems Excluded,-1.0764098090530188,-0.2691024522632547,"27% Excluded, Against Dems",1.08 Dem Districts Lost,Multi-District,-3,Dems Excluded,More Partisan Than 2020
CA,D+14,0.36,10.037207296403052,0.19302321723852023,California,-5,2.0,"19% Excluded, Against GOP",10.04 GOP Districts Lost,Map Completed,2.0,GOP Excluded,10.095207200690586,0.19047560756019974,"19% Excluded, Against GOP",10.1 GOP Districts Lost,Multi-District,2,GOP Excluded,More Partisan Than 2020
CO,D+3,0.47,0.189333553074297,0.023666694134287125,Colorado,-4,3.5,"2% Excluded, Against GOP",0.19 GOP Districts Lost,Map Completed,0.0,GOP Excluded,0.47551944000644486,0.06793134857234927,"7% Excluded, Against GOP",0.48 GOP Districts Lost,Multi-District,1,GOP Excluded,Less Partisan Than 2020
CT,D+7,0.43,1.3545797524496432,0.27091595048992867,Connecticut,-3,11.0,"27% Excluded, Against GOP",1.35 GOP Districts Lost,Map Completed,3.0,GOP Excluded,1.4592324805339265,0.2918464961067853,"28% Excluded, Against GOP",1.46 GOP Districts Lost,Multi-District,3,GOP Excluded,Less Partisan Than 2020
DE,D+6,0.44,0.3954140127388535,0.3954140127388535,Delaware,-4,9.5,"40% Excluded, Against GOP",0.4 GOP Districts Lost,Single District,4.0,GOP Excluded,0.3954140127388535,0.3954140127388535,"40% Excluded, Against GOP",0.4 GOP Districts Lost,Single District,4,GOP Excluded,No Change Since 2020
FL,R+3,0.53,,,Florida,-8,8.5,Incomplete Map,Incomplete Map,Incomplete Map,,GOP Excluded,-0.18169183401381162,-0.0067293271856967265,"1% Excluded, Against Dems",0.18 Dem Districts Lost,Multi-District,0,Dems Excluded,Incomplete Map
GA,R+3,0.53,-1.602169857346368,-0.11444070409616915,Georgia,-7,8.0,"11% Excluded, Against Dems",1.6 Dem Districts Lost,Map Completed,-1.0,Dems Excluded,-1.5178159155697042,-0.10841542254069315,"11% Excluded, Against Dems",1.52 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
HI,D+15,0.35,0.6911012235817575,0.34555061179087876,Hawaii,-8,0.5,"35% Excluded, Against GOP",0.69 GOP Districts Lost,Map Completed,3.0,GOP Excluded,0.6911012235817575,0.34555061179087876,"35% Excluded, Against GOP",0.69 GOP Districts Lost,Multi-District,3,GOP Excluded,No Change Since 2020
ID,R+19,0.69,-0.5735087719298246,-0.2867543859649123,Idaho,-3,2.0,"28% Excluded, Against Dems",0.57 Dem Districts Lost,Map Completed,-3.0,Dems Excluded,-0.5735087719298246,-0.2867543859649123,"28% Excluded, Against Dems",0.57 Dem Districts Lost,Multi-District,-3,Dems Excluded,No Change Since 2020
IL,D+7,0.43,3.0638394068206063,0.18022584746003567,Illinois,-3,6.0,"18% Excluded, Against GOP",3.06 GOP Districts Lost,Map Completed,2.0,GOP Excluded,1.4579871075537083,0.08099928375298379,"8% Excluded, Against GOP",1.46 GOP Districts Lost,Multi-District,1,GOP Excluded,More Partisan Than 2020
IN,R+11,0.61,-1.4425319184784549,-0.16028132427538389,Indiana,-3,7.0,"16% Excluded, Against Dems",1.44 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-1.2788855130516135,-0.14209839033906815,"14% Excluded, Against Dems",1.28 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
IA,R+6,0.56,-0.6473637034806083,-0.16184092587015209,Iowa,-3,5.0,"16% Excluded, Against Dems",0.65 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-0.9796624663167242,-0.24491561657918104,"24% Excluded, Against Dems",0.98 Dem Districts Lost,Multi-District,-2,Dems Excluded,Less Partisan Than 2020
KS,R+11,0.61,-1.0743724696356272,-0.2685931174089068,Kansas,-5,5.0,"27% Excluded, Against Dems",1.07 Dem Districts Lost,Map Completed,-3.0,Dems Excluded,-0.8379852857951327,-0.20949632144878316,"21% Excluded, Against Dems",0.84 Dem Districts Lost,Multi-District,-2,Dems Excluded,More Partisan Than 2020
KY,R+16,0.66,-0.7608591972621408,-0.1268098662103568,Kentucky,-4,6.5,"13% Excluded, Against Dems",0.76 Dem Districts Lost,Map Completed,-1.0,Dems Excluded,-0.9514669320687705,-0.15857782201146176,"16% Excluded, Against Dems",0.95 Dem Districts Lost,Multi-District,-2,Dems Excluded,Less Partisan Than 2020
LA,R+12,0.62,,,Louisiana,-6,5.5,Incomplete Map,Incomplete Map,Incomplete Map,,GOP Excluded,-1.1449757039985942,-0.1908292839997657,"19% Excluded, Against Dems",1.14 Dem Districts Lost,Multi-District,-2,Dems Excluded,Incomplete Map
ME,D+1,0.49,0.1661583465975086,0.0830791732987543,Maine,0,11.5,"8% Excluded, Against GOP",0.17 GOP Districts Lost,Map Completed,1.0,GOP Excluded,0.1661583465975086,0.0830791732987543,"8% Excluded, Against GOP",0.17 GOP Districts Lost,Multi-District,1,GOP Excluded,No Change Since 2020
MD,D+14,0.36,1.9109785753907658,0.23887232192384572,Maryland,-4,8.5,"24% Excluded, Against GOP",1.91 GOP Districts Lost,Map Completed,2.0,GOP Excluded,1.9042442870245693,0.23803053587807116,"24% Excluded, Against GOP",1.9 GOP Districts Lost,Multi-District,2,GOP Excluded,More Partisan Than 2020
MA,D+14,0.36,3.2044048943270296,0.35604498825855885,Massachusetts,-2,10.5,"36% Excluded, Against GOP",3.2 GOP Districts Lost,Map Completed,4.0,GOP Excluded,3.1642682952750047,0.3515853661416672,"35% Excluded, Against GOP",3.16 GOP Districts Lost,Multi-District,4,GOP Excluded,More Partisan Than 2020
MI,R+1,0.51,-0.33578273878214926,-0.025829441444780714,Michigan,-2,7.5,"3% Excluded, Against Dems",0.34 Dem Districts Lost,Map Completed,0.0,Dems Excluded,-1.2520824997146942,-0.0894344642653353,"9% Excluded, Against Dems",1.25 Dem Districts Lost,Multi-District,-1,Dems Excluded,Less Partisan Than 2020
MN,D+1,0.49,-0.2013929808433561,-0.025174122605419513,Minnesota,-2,4.5,"3% Excluded, Against Dems",0.2 Dem Districts Lost,Map Completed,0.0,Dems Excluded,-0.34550948757980926,-0.04318868594747616,"4% Excluded, Against Dems",0.35 Dem Districts Lost,Multi-District,0,Dems Excluded,Less Partisan Than 2020
MS,R+10,0.6,-0.5114669320687706,-0.12786673301719265,Mississippi,-6,6.5,"13% Excluded, Against Dems",0.51 Dem Districts Lost,Map Completed,-1.0,Dems Excluded,-0.5114669320687706,-0.12786673301719265,"13% Excluded, Against Dems",0.51 Dem Districts Lost,Multi-District,-1,Dems Excluded,No Change Since 2020
MO,R+11,0.61,,,Missouri,-4,5.5,Incomplete Map,Incomplete Map,Incomplete Map,,GOP Excluded,-0.8605943568088694,-0.10757429460110868,"11% Excluded, Against Dems",0.86 Dem Districts Lost,Multi-District,-1,Dems Excluded,Incomplete Map
MT,R+11,0.61,-0.5429010371231946,-0.2714505185615973,Montana,-2,2.5,"27% Excluded, Against Dems",0.54 Dem Districts Lost,Map Completed,-3.0,Dems Excluded,-0.34350877192982454,-0.34350877192982454,"34% Excluded, Against Dems",0.34 Dem Districts Lost,Single District,-3,Dems Excluded,Less Partisan Than 2020
NE,R+13,0.63,-0.6553455066237022,-0.2184485022079007,Nebraska ,-4,4.5,"22% Excluded, Against Dems",0.66 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-0.6553455066237022,-0.2184485022079007,"22% Excluded, Against Dems",0.66 Dem Districts Lost,Multi-District,-2,Dems Excluded,No Change Since 2020
NV,R+0,0.5,0.22740918869122773,0.05685229717280693,Nevada ,-4,2.5,"6% Excluded, Against GOP",0.23 GOP Districts Lost,Map Completed,1.0,GOP Excluded,0.017227944079416524,0.004306986019854131,Perfect Match,0.02 GOP Districts Lost,Multi-District,0,GOP Excluded,More Partisan Than 2020
NH,R+0,0.5,,,New Hampshire ,-1,11.0,Incomplete Map,Incomplete Map,Incomplete Map,,GOP Excluded,0.037195523370638583,0.018597761685319292,"2% Excluded, Against GOP",0.04 GOP Districts Lost,Multi-District,0,GOP Excluded,Incomplete Map
NJ,D+6,0.44,2.282337682400952,0.19019480686674597,New Jersey ,-3,10.0,"19% Excluded, Against GOP",2.28 GOP Districts Lost,Map Completed,2.0,GOP Excluded,1.421701318254112,0.11847510985450933,"12% Excluded, Against GOP",1.42 GOP Districts Lost,Multi-District,1,GOP Excluded,More Partisan Than 2020
NM,D+3,0.47,0.6879946579001438,0.22933155263338126,New Mexico ,-6,3.5,"23% Excluded, Against GOP",0.69 GOP Districts Lost,Map Completed,2.0,GOP Excluded,0.4074558525999077,0.13581861753330257,"14% Excluded, Against GOP",0.41 GOP Districts Lost,Multi-District,1,GOP Excluded,More Partisan Than 2020
NY,D+10,0.4,4.83503220618978,0.18596277716114537,New York ,-2,9.5,"19% Excluded, Against GOP",4.84 GOP Districts Lost,Map Completed,2.0,GOP Excluded,2.4267662183001697,0.0898802303074137,"9% Excluded, Against GOP",2.43 GOP Districts Lost,Multi-District,1,GOP Excluded,More Partisan Than 2020
