year,ST,PVI,metric,dist_loss,porp_loss,porp_text,dist_text,lean,State,congress,Period,event,dist_loss_agg,dist_loss_net
2004,AL,R+8,0.58,-1.403358794880039,-0.20047982784000556,"20% Excluded, Against Dems",1.4 Dem Districts Lost,Dems Excluded,Alabama,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,AK,R+14,0.64,-0.3135087719298245,-0.3135087719298245,"31% Excluded, Against Dems",0.31 Dem Districts Lost,Dems Excluded,Alaska,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,AZ,R+1,0.51,-0.6799822996993665,-0.08499778746242082,"8% Excluded, Against Dems",0.68 Dem Districts Lost,Dems Excluded,Arizona,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,AR,R+3,0.53,-0.009354562645795816,-0.002338640661448954,"0% Excluded, Against Dems",0.01 Dem Districts Lost,Dems Excluded,Arkansas,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,CO,R+1,0.51,-0.44752703482044165,-0.06393243354577738,"6% Excluded, Against Dems",0.45 Dem Districts Lost,Dems Excluded,Colorado,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,FL,D+1,0.49,-1.8856397432363092,-0.07542558972945237,"8% Excluded, Against Dems",1.89 Dem Districts Lost,Dems Excluded,Florida,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,GA,R+6,0.56,-1.085328922974842,-0.083486840228834,"8% Excluded, Against Dems",1.09 Dem Districts Lost,Dems Excluded,Georgia,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,ID,R+19,0.69,-0.5735087719298246,-0.2867543859649123,"28% Excluded, Against Dems",0.57 Dem Districts Lost,Dems Excluded,Idaho,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,IN,R+7,0.57,-1.2448257269488083,-0.1383139696609787,"14% Excluded, Against Dems",1.24 Dem Districts Lost,Dems Excluded,Indiana,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,KS,R+11,0.61,-1.065400634741093,-0.26635015868527323,"27% Excluded, Against Dems",1.07 Dem Districts Lost,Dems Excluded,Kansas,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,KY,R+8,0.58,-1.4821370303320238,-0.24702283838867065,"25% Excluded, Against Dems",1.48 Dem Districts Lost,Dems Excluded,Kentucky,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,LA,R+4,0.54,-1.3645866046331294,-0.1949409435190185,"19% Excluded, Against Dems",1.36 Dem Districts Lost,Dems Excluded,Louisiana,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,MI,D+4,0.46,-0.1071889516545772,-0.007145930110305147,"1% Excluded, Against Dems",0.11 Dem Districts Lost,Dems Excluded,Michigan,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,MS,R+7,0.57,-0.5849757039985954,-0.14624392599964886,"15% Excluded, Against Dems",0.58 Dem Districts Lost,Dems Excluded,Mississippi,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,MO,R+1,0.51,-0.8517183945242808,-0.09463537716936453,"9% Excluded, Against Dems",0.85 Dem Districts Lost,Dems Excluded,Missouri,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,MT,R+11,0.61,-0.34350877192982454,-0.34350877192982454,"34% Excluded, Against Dems",0.34 Dem Districts Lost,Dems Excluded,Montana,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,NE,R+15,0.65,-0.9570175438596489,-0.3190058479532163,"32% Excluded, Against Dems",0.96 Dem Districts Lost,Dems Excluded,Nebraska ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,NC,R+5,0.55,-0.8836466949734945,-0.0679728226902688,"7% Excluded, Against Dems",0.88 Dem Districts Lost,Dems Excluded,North Carolina ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,ND,R+13,0.63,-0.3235087719298245,-0.3235087719298245,"32% Excluded, Against Dems",0.32 Dem Districts Lost,Dems Excluded,North Dakota ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,OH,R+0,0.5,-0.8398486200634316,-0.04665825667019065,"5% Excluded, Against Dems",0.84 Dem Districts Lost,Dems Excluded,Ohio ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,OK,R+12,0.62,-1.5234273529126683,-0.30468547058253365,"30% Excluded, Against Dems",1.52 Dem Districts Lost,Dems Excluded,Oklahoma ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,PA,D+3,0.47,-0.005433851210126406,-0.00028599216895402134,"0% Excluded, Against Dems",0.01 Dem Districts Lost,Dems Excluded,Pennsylvania,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,SC,R+7,0.57,-1.2078767411217894,-0.2013127901869649,"20% Excluded, Against Dems",1.21 Dem Districts Lost,Dems Excluded,South Carolina ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,SD,R+10,0.6,-0.35350877192982455,-0.35350877192982455,"35% Excluded, Against Dems",0.35 Dem Districts Lost,Dems Excluded,South Dakota ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,TN,R+3,0.53,-0.9726723562786352,-0.10807470625318169,"11% Excluded, Against Dems",0.97 Dem Districts Lost,Dems Excluded,Tennessee ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,TX,R+8,0.58,-4.176066771484152,-0.13050208660887974,"13% Excluded, Against Dems",4.18 Dem Districts Lost,Dems Excluded,Texas ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
2004,UT,R+22,0.72,-0.7935087719298242,-0.2645029239766081,"26% Excluded, Against Dems",0.79 Dem Districts Lost,Dems Excluded,Utah ,109,109th Congress (2004),2004 Election and TX redraw,-27.82202244814745,-2.335246039401672
