year,congress,ST,ST#,seat,is_GOP,PVI,metric,lean
2004,109,AL,AL1,R,1.0,R+12,0.62,
2004,109,AL,AL2,R,1.0,R+13,0.63,
2004,109,AL,AL3,R,1.0,R+4,0.54,
2004,109,AL,AL4,R,1.0,R+16,0.66,
2004,109,AL,AL5,D,0.0,R+6,0.56,
2004,109,AL,AL6,R,1.0,R+25,0.75,
2004,109,AL,AL7,D,0.0,D+17,0.33,
2004,109,AK,AKAL,R,1.0,R+14,0.64,
2004,109,AZ,AZ1,R,1.0,R+2,0.52,
2004,109,AZ,AZ2,R,1.0,R+9,0.59,
2004,109,AZ,AZ3,R,1.0,R+6,0.56,
2004,109,AZ,AZ4,D,0.0,D+14,0.36,
2004,109,AZ,AZ5,R,1.0,R+4,0.54,
2004,109,AZ,AZ6,R,1.0,R+12,0.62,
2004,109,AZ,AZ7,D,0.0,D+10,0.4,
2004,109,AZ,AZ8,R,1.0,R+1,0.51,
2004,109,AR,AR1,D,0.0,D+1,0.49,
2004,109,AR,AR2,D,0.0,R+0,0.5,
2004,109,AR,AR3,R,1.0,R+11,0.61,
2004,109,AR,AR4,D,0.0,D+0,0.5,
2004,109,CA,CA1,D,0.0,D+10,0.4,
2004,109,CA,CA2,R,1.0,R+13,0.63,
2004,109,CA,CA3,R,1.0,R+7,0.57,
2004,109,CA,CA4,R,1.0,R+11,0.61,
2004,109,CA,CA5,D,0.0,D+14,0.36,
2004,109,CA,CA6,D,0.0,D+21,0.29,
2004,109,CA,CA7,D,0.0,D+19,0.31,
2004,109,CA,CA8,D,0.0,D+36,0.14,
2004,109,CA,CA9,D,0.0,D+38,0.12,
2004,109,CA,CA10,D,0.0,D+9,0.41,
2004,109,CA,CA11,R,1.0,R+3,0.53,
2004,109,CA,CA12,D,0.0,D+22,0.28,
2004,109,CA,CA13,D,0.0,D+22,0.28,
2004,109,CA,CA14,D,0.0,D+18,0.32,
2004,109,CA,CA15,D,0.0,D+14,0.36,
2004,109,CA,CA16,D,0.0,D+16,0.34,
2004,109,CA,CA17,D,0.0,D+17,0.33,
2004,109,CA,CA18,D,0.0,D+3,0.47,
2004,109,CA,CA19,R,1.0,R+10,0.6,
