county,FIPS,ct_FIPS,year,congress,ST,ST#,PVI,metric,district,pvi_range,prob_GOP,Chance of GOP Representation,district_117,PVI_117,prob_GOP_117
Allamakee,19005,005,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Benton,19011,011,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Black Hawk,19013,013,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Bremer,19017,017,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Buchanan,19019,019,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Clayton,19043,043,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Delaware,19055,055,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Dubuque,19061,061,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Fayette,19065,065,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Howard,19089,089,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Linn,19113,113,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Mitchell,19131,131,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Poweshiek,19157,157,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Tama,19171,171,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Winneshiek,19191,191,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Worth,19195,195,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,1,R+4,0.7889908256880734
Butler,19023,023,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,4,R+16,0.9535087719298244
Cerro Gordo,19033,033,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,4,R+16,0.9535087719298244
Chickasaw,19037,037,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,4,R+16,0.9535087719298244
Floyd,19067,067,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,4,R+16,0.9535087719298244
Grundy,19075,075,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,4,R+16,0.9535087719298244
Hardin,19083,083,2022,118,IA,IA2,R+3,0.53,2,R+3,0.6881720430107527,69.0,4,R+16,0.9535087719298244
Iowa,19095,095,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,1,R+4,0.7889908256880734
Jackson,19097,097,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,1,R+4,0.7889908256880734
Jones,19105,105,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,1,R+4,0.7889908256880734
Cedar,19031,031,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Clinton,19045,045,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Des Moines,19057,057,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Henry,19087,087,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Jasper,19099,099,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Jefferson,19101,101,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Johnson,19103,103,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Keokuk,19107,107,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Lee,19111,111,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Louisa,19115,115,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Mahaska,19123,123,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Marion,19125,125,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
Muscatine,19139,139,2022,118,IA,IA1,R+2,0.52,1,R+2,0.6538461538461539,65.0,2,R+4,0.7889908256880734
