metric,pvi_range,prob_GOP
0.06,D+26+,0.0
0.07,D+26+,0.0
0.08,D+26+,0.0
0.09,D+26+,0.0
0.1,D+26+,0.0
0.11,D+26+,0.0
0.12,D+26+,0.0
0.13,D+26+,0.0
0.14,D+26+,0.0
0.15,D+26+,0.0
0.16,D+26+,0.0
0.17,D+26+,0.0
0.18,D+26+,0.0
0.19,D+26+,0.0
0.2,D+26+,0.0
0.21,D+26+,0.0
0.22,D+26+,0.0
0.23,D+26+,0.0
0.24,D+26+,0.0
0.25,D+25 to D+8,0.004449388209121246
0.26,D+25 to D+8,0.004449388209121246
0.27,D+25 to D+8,0.004449388209121246
0.28,D+25 to D+8,0.004449388209121246
0.29,D+25 to D+8,0.004449388209121246
0.3,D+25 to D+8,0.004449388209121246
0.31,D+25 to D+8,0.004449388209121246
0.32,D+25 to D+8,0.004449388209121246
0.33,D+25 to D+8,0.004449388209121246
0.34,D+25 to D+8,0.004449388209121246
0.35,D+25 to D+8,0.004449388209121246
0.36,D+25 to D+8,0.004449388209121246
0.37,D+25 to D+8,0.004449388209121246
0.38,D+25 to D+8,0.004449388209121246
0.39,D+25 to D+8,0.004449388209121246
0.4,D+25 to D+8,0.004449388209121246
0.41,D+25 to D+8,0.004449388209121246
0.42,D+25 to D+8,0.004449388209121246
0.43,D+7 to D+6,0.044585987261146494
0.44,D+7 to D+6,0.044585987261146494
0.45,D+5,0.11764705882352941
0.46,D+4,0.1875
0.47,D+3,0.2535211267605634
0.48,D+2,0.3387096774193548
0.49,D+1,0.3709677419354839
0.5,EVEN,0.4024390243902439
0.51,R+1,0.5918367346938775
0.52,R+2,0.6538461538461539
0.53,R+3,0.6881720430107527
0.54,R+4,0.7889908256880734
0.55,R+5 to R+7,0.8093922651933702
0.56,R+5 to R+7,0.8093922651933702
0.57,R+5 to R+7,0.8093922651933702
0.58,R+8 to R+20,0.9535087719298245
0.59,R+8 to R+20,0.9535087719298245
0.6,R+8 to R+20,0.9535087719298245
0.61,R+8 to R+20,0.9535087719298245
0.62,R+8 to R+20,0.9535087719298245
0.63,R+8 to R+20,0.9535087719298245
0.64,R+8 to R+20,0.9535087719298245
0.65,R+8 to R+20,0.9535087719298245
0.66,R+8 to R+20,0.9535087719298245
0.67,R+8 to R+20,0.9535087719298245
0.68,R+8 to R+20,0.9535087719298245
0.69,R+8 to R+20,0.9535087719298245
0.7,R+8 to R+20,0.9535087719298245
0.71,R+21+,1.0
0.72,R+21+,1.0
0.73,R+21+,1.0
0.74,R+21+,1.0
0.75,R+21+,1.0
0.76,R+21+,1.0
0.77,R+21+,1.0
0.78,R+21+,1.0
0.79,R+21+,1.0
0.8,R+21+,1.0
0.81,R+21+,1.0
0.82,R+21+,1.0
0.83,R+21+,1.0
0.84,R+21+,1.0
