District,Incumbent,Party,"First
elected",Result,Candidates
Alabama 1,Jo Bonner,Republican,2002,Incumbent re-elected.," Jo Bonner (Republican) 63.2%
Judy McCain Belk (Democratic) 36.8%"
Alabama 2,Terry Everett,Republican,1992,Incumbent re-elected.," Terry Everett (Republican) 71.5%
Chuck James (Democratic) 28.5%"
Alabama 3,Mike D. Rogers,Republican,2002,Incumbent re-elected.," Mike D. Rogers (Republican) 61.2%
Bill Fuller (Democratic) 38.8%"
Alabama 4,Robert Aderholt,Republican,1996,Incumbent re-elected.," Robert Aderholt (Republican) 74.8%
Carl Cole (Democratic) 25.2%"
Alabama 5,Robert E. Cramer,Democratic,1990,Incumbent re-elected.," Robert E. Cramer (Democratic) 73.1%
Gerry Wallace (Republican) 26.9%"
Alabama 6,Spencer Bachus,Republican,1992,Incumbent re-elected., Spencer Bachus (Republican) Unopposed
Alabama 7,Artur Davis,Democratic,2002,Incumbent re-elected.," Artur Davis (Democratic) 75.0%
Steve Cameron (Republican) 25.0%"
Alaska at-large,Don Young,Republican,1973 (Special),Incumbent re-elected.," Don Young (Republican) 71.1%
Thomas Higgins (Democratic) 22.4%
Timothy Feller (Green) 3.8%
Alvin Anders (Libertarian) 2.4%"
Arizona 1,Rick Renzi,Republican,2002,Incumbent re-elected.," Rick Renzi (Republican) 58.6%
Paul Babbitt (Democratic) 36.2%
John Crockett (Libertarian) 5.2%"
Arizona 2,Trent Franks,Republican,2002,Incumbent re-elected.," Trent Franks (Republican) 59.2%
Randy Camacho (Democratic) 38.4%
Powell Gamill (Libertarian) 2.4%"
Arizona 3,John Shadegg,Republican,1994,Incumbent re-elected.," John Shadegg (Republican) 80.1%
Mark Yannone (Libertarian) 19.9%"
Arizona 4,Ed Pastor,Democratic,1990,Incumbent re-elected.," Ed Pastor (Democratic) 70.1%
Don Karg (Republican) 25.7%
Gary Fallon (Libertarian) 4.2%"
Arizona 5,J. D. Hayworth,Republican,1994,Incumbent re-elected.," J. D. Hayworth (Republican) 59.5%
Elizabeth Rogers (Democratic) 38.2%
Michael Kielsky (Libertarian) 2.3%"
Arizona 6,Jeff Flake,Republican,2000,Incumbent re-elected.," Jeff Flake (Republican) 79.4%
Craig Stritar (Libertarian) 20.6%"
Arizona 7,Raul Grijalva,Democratic,2002,Incumbent re-elected.," Raul Grijalva (Democratic) 62.0%
Joseph Sweeney (Republican) 33.7%
Dave Kaplan (Libertarian) 4.3%"
Arizona 8,Jim Kolbe,Republican,1984,Incumbent re-elected.," Jim Kolbe (Republican) 60.4%
Eva Bacal (Democratic) 36.2%
Robert Anderson (Libertarian) 3.4%"
Arkansas 1,Robert Marion Berry,Democratic,1996,Incumbent re-elected.," Robert Marion Berry (Democratic) 66.6%
Vernon Humphrey (Republican) 33.4%"
Arkansas 2,Vic Snyder,Democratic,1996,Incumbent re-elected.," Vic Snyder (Democratic) 58.2%
Marvin Parks (Republican) 41.8%"
Arkansas 3,John Boozman,Republican,2000,Incumbent re-elected.," John Boozman (Republican) 59.3%
Jan Judy (Democratic) 38.1%
Dale Morfey (Independent) 2.6%"
Arkansas 4,Mike Ross,Democratic,2000,Incumbent re-elected., Mike Ross (Democratic) Unopposed
California 1,Mike Thompson,Democratic,1998,Incumbent re-elected.," Mike Thompson (Democratic) 67.0%
Lawrence Wiesner (Republican) 28.2%
Pamela Elizondo (Green) 4.8%"
California 2,Wally Herger,Republican,1988,Incumbent re-elected.," Wally Herger (Republican) 66.9%
Mike Johnson (Democratic) 33.1%"
California 3,Doug Ose,Republican,1998,"Incumbent retired.
New member elected.
Republican hold."," Dan Lungren (Republican) 62.0%
Gabe Castillo (Democratic) 34.8%
D.A. Tuma (Libertarian) 3.2%"
California 4,John Doolittle,Republican,1990,Incumbent re-elected.," John Doolittle (Republican) 65.4%
Dave Winters (Democratic) 34.6%"
California 5,Bob Matsui,Democratic,1978,Incumbent re-elected.," Bob Matsui (Democratic) 71.4%
Mike Dugas (Republican) 23.4%
Pat Driscoll (Green) 3.4%
John Reiger (Peace and Freedom) 1.8%"
California 6,Lynn Woolsey,Democratic,1992,Incumbent re-elected.," Lynn Woolsey (Democratic) 72.7%
Paul Erikson (Republican) 27.3%"
California 7,George Miller,Democratic,1974,Incumbent re-elected.," George Miller (Democratic) 76.1%
Charles Hargrave (Republican) 23.9%"
California 8,Nancy Pelosi,Democratic,1987 (Special),Incumbent re-elected.," Nancy Pelosi (Democratic) 83.0%
Jennifer DePalma (Republican) 11.5%
Leilani Dowell (Peace and Freedom) 3.5%
Terry Baum (Green) 2.0%"
