District,2004 CPVI,Representative,Party,"First
elected",,
Alabama 1,R+12,Jo Bonner,Republican,2002,Incumbent re-elected.," Jo Bonner (Republican) 68.1%
Vivian Beckerle (Democratic) 31.8%"
Alabama 2,R+13,Terry Everett,Republican,1992,Incumbent re-elected.," Terry Everett (Republican) 69.5%
Chuck James (Democratic) 30.4%"
Alabama 3,R+4,Mike Rogers,Republican,2002,Incumbent re-elected.," Mike Rogers (Republican) 59.4%
Greg Pierce (Democratic) 38.5%
Mark Layfield (Independent) 2.1%"
Alabama 4,R+16,Robert Aderholt,Republican,1996,Incumbent re-elected.," Robert Aderholt (Republican) 70.2%
Barbara Bobo (Democratic) 29.7%"
Alabama 5,R+6,Robert E. Cramer,Democratic,1990,Incumbent re-elected., Robert E. Cramer (Democratic) Unopposed
Alabama 6,R+25,Spencer Bachus,Republican,1992,Incumbent re-elected., Spencer Bachus (Republican) Unopposed
Alabama 7,D+17,Artur Davis,Democratic,2002,Incumbent re-elected., Artur Davis (Democratic) Unopposed
"
",,,,,,
"Alaska
",,,,,,
Main article: ,,,,,,
2006 United States House of Representatives election in Alaska,,,,,,
"
See also: ",,,,,,
List of United States representatives from Alaska,,,,,,
"
",,,,,,
District,,Incumbent,,,Results,Candidates
District,2004 CPVI,Representative,Party,"First
elected",,
Alaska at-large,R+14,Don Young,Republican,1973 (Special),Incumbent re-elected.," Don Young (Republican) 56.6%
Diane Benson (Democratic) 40.0%
Alexander Crawford (Libertarian) 1.7%
Eva Ince (Green) 0.8%
Bill Ratigan (Independent) 0.7%"
"Arizona
",,,,,,
Main article: ,,,,,,
2006 United States House of Representatives elections in Arizona,,,,,,
"
See also: ",,,,,,
List of United States representatives from Arizona,,,,,,
"
",,,,,,
District,,Incumbent,,,Results,Candidates
District,2004 CPVI,Representative,Party,"First
elected",,
Arizona 1,R+2,Rick Renzi,Republican,2002,Incumbent re-elected.," Rick Renzi (Republican) 51.8%
Ellen Simon (Democratic) 43.4%
David Schlosser (Libertarian) 4.8%"
Arizona 2,R+9,Trent Franks,Republican,2002,Incumbent re-elected.," Trent Franks (Republican) 58.6%
John Thrasher (Democratic) 38.9%
Powell Gammill (Libertarian) 2.5%"
Arizona 3,R+6,John Shadegg,Republican,1994,Incumbent re-elected.," John Shadegg (Republican) 59.3%
Don Chilton (Democratic) 38.2%
Mark Yannone (Libertarian) 2.5%"
Arizona 4,D+14,Ed Pastor,Democratic,1990,Incumbent re-elected.," Ed Pastor (Democratic) 72.5%
Don Karg (Republican) 23.9%
Ronald Harders (Libertarian) 3.6%"
Arizona 5,R+4,J. D. Hayworth,Republican,1994,"Incumbent lost re-election.
New member elected.
Democratic gain."," Harry Mitchell (Democratic) 50.4%
J. D. Hayworth (Republican) 46.4%
Warren Severin (Libertarian) 3.1%"
Arizona 6,R+12,Jeff Flake,Republican,2000,Incumbent re-elected.," Jeff Flake (Republican) 74.8%
Jason Blair (Libertarian) 25.2%"
