CD Num,State Fips,X,Y
2,6,1,11
5,6,1,12
12,6,1,13
14,6,1,14
20,6,1,15
6,53,2,5
3,53,2,6
1,41,2,8
5,41,2,9
1,6,2,11
6,6,2,12
13,6,2,13
18,6,2,14
17,6,2,15
24,6,2,16
26,6,2,17
33,6,2,18
43,6,2,19
44,6,2,20
47,6,2,21
0,2,2,28
2,53,3,5
10,53,3,6
3,41,3,8
4,41,3,9
3,6,3,11
7,6,3,12
11,6,3,13
15,6,3,14
19,6,3,15
30,6,3,16
29,6,3,17
37,6,3,18
34,6,3,19
40,6,3,20
46,6,3,21
48,6,3,22
1,53,4,4
7,53,4,5
9,53,4,6
2,41,4,9
4,6,4,11
9,6,4,12
10,6,4,13
16,6,4,14
21,6,4,15
22,6,4,16
23,6,4,17
28,6,4,18
25,6,4,19
38,6,4,20
45,6,4,21
35,6,4,22
49,6,4,23
8,53,5,4
4,53,5,5
5,53,5,6
27,6,5,18
32,6,5,19
39,6,5,20
31,6,5,21
41,6,5,22
52,6,5,23
53,6,5,24
2,32,6,13
1,32,6,14
8,6,6,22
42,6,6,23
50,6,6,24
1,15,6,28
4,32,7,13
3,32,7,14
4,4,7,18
7,4,7,19
3,4,7,20
36,6,7,23
51,6,7,24
2,15,7,29
1,16,8,9
2,16,8,10
8,4,8,18
6,4,8,19
9,4,8,20
1,49,9,14
2,49,9,15
1,4,9,18
5,4,9,19
2,4,9,20
0,30,10,5
4,49,10,14
3,49,10,15
16,48,10,24
0,56,11,8
23,48,11,24
25,48,11,25
21,48,11,26
7,8,12,13
5,8,12,14
3,8,12,15
1,35,12,18
2,35,12,19
19,48,12,22
11,48,12,23
33,48,12,24
12,48,12,25
31,48,12,26
35,48,12,27
20,48,12,28
2,8,13,12
6,8,13,13
1,8,13,14
4,8,13,15
3,35,13,18
13,48,13,22
26,48,13,23
24,48,13,24
30,48,13,25
17,48,13,26
9,48,13,27
10,48,13,28
28,48,13,29
0,38,14,6
0,46,14,8
3,48,14,23
32,48,14,24
7,48,14,25
18,48,14,26
22,48,14,27
15,48,14,28
34,48,14,29
3,31,14,10
1,31,15,10
2,31,15,11
3,40,14,20
5,40,15,20
4,40,15,21
1,40,16,20
2,40,16,21
4,48,15,23
6,48,15,24
2,48,15,25
29,48,15,26
27,48,15,27
1,48,16,23
5,48,16,24
8,48,16,25
36,48,16,26
14,48,16,27
1,20,15,16
4,20,15,17
3,20,16,16
2,20,16,17
7,27,17,6
6,27,17,7
5,27,17,8
1,27,17,9
4,19,17,11
3,19,17,12
8,27,18,6
3,27,18,7
4,27,18,8
2,27,18,9
1,19,18,11
2,19,18,12
5,29,18,18
4,29,18,19
7,29,18,20
6,29,19,18
3,29,19,19
8,29,19,20
1,29,20,19
2,29,20,20
18,17,20,15
14,17,20,14
6,17,20,13
17,17,20,12
16,17,21,11
10,17,21,12
8,17,21,13
3,17,21,14
11,17,21,15
13,17,21,16
12,17,21,17
9,17,22,11
5,17,22,12
4,17,22,13
7,17,22,14
1,17,22,15
2,17,22,16
5,17,22,17
7,55,20,7
