ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",721714,0,0.8055,0.1945,0,586410,0.588,0.412,0.2445,0.0966,0.0524,0.0334,0.0036,
"2",721714,0,0.6871,0.3129,0,585158,0.7866,0.2134,0.1224,0.0162,0.0476,0.0231,0.0025,
"3",721714,0,0.4423,0.5577,0,568549,0.7011,0.2989,0.2278,0.0149,0.0143,0.0485,0.0026,
"4",721715,0,0.3812,0.6188,0,543442,0.7846,0.2154,0.1182,0.0246,0.0449,0.0267,0.0029,
"5",721714,0,0.4174,0.5826,0,551904,0.6909,0.3091,0.1546,0.0766,0.0492,0.0348,0.0076,
"6",721715,0,0.5999,0.4001,0,553658,0.5979,0.4021,0.1942,0.1138,0.0733,0.0303,0.0048,
"7",721714,0,0.5476,0.4524,0,584424,0.7742,0.2258,0.1329,0.0204,0.0406,0.0319,0.0023,
"8",721714,0,0.5091,0.4909,0,536031,0.5611,0.4389,0.345,0.0259,0.0434,0.04,0.0029,
"Summary",721714,0,0.5504,0.4496,0,563697,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
