ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",713311,0,0.4395,0.5605,0,549351,0.8557,0.1443,0.0569,0.0366,0.0322,0.0143,0.0015,
"2",713312,0,0.5175,0.4825,0,535271,0.7902,0.2098,0.0636,0.0614,0.0618,0.0176,0.0014,
"3",713311,0,0.5857,0.4143,0,549165,0.7575,0.2425,0.0433,0.0908,0.0888,0.0153,0.0012,
"4",713312,0,0.6816,0.3184,0,549351,0.6789,0.3211,0.0624,0.1104,0.128,0.0207,0.0016,
"5",713312,0,0.813,0.187,0,571885,0.6538,0.3462,0.0855,0.1655,0.0711,0.028,0.0016,
"6",713312,0,0.3921,0.6079,0,528178,0.8681,0.1319,0.0304,0.0433,0.0349,0.0161,0.0011,
"7",713312,0,0.3241,0.6759,0,544716,0.9064,0.0936,0.0405,0.0162,0.011,0.0209,0.0016,
"8",713312,0,0.4369,0.5631,0,561116,0.8926,0.1074,0.0148,0.0161,0.0117,0.056,0.001,
"Summary",713312,0,0.5236,0.4764,0,548629,0.7995,0.2005,0.0498,0.0681,0.055,0.0238,0.0014,
