ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",745670,0,0.5434,0.4566,0,587954,0.5007,0.4993,0.0586,0.4123,0.0127,0.0217,0.0013,
"2",745671,0,0.6328,0.3672,0,573899,0.6011,0.3989,0.0932,0.1818,0.1111,0.0172,0.0015,
"3",745670,0,0.3686,0.6314,0,585030,0.674,0.326,0.0934,0.1889,0.022,0.0247,0.0034,
"4",745670,0,0.6773,0.3227,0,592756,0.5564,0.4436,0.1091,0.2664,0.0536,0.0216,0.0011,
"5",745670,0,0.3878,0.6122,0,595196,0.7568,0.2432,0.0815,0.1251,0.0179,0.0213,0.0012,
"6",745670,0,0.5588,0.4412,0,584671,0.5469,0.4531,0.0796,0.3165,0.0434,0.0212,0.0012,
"7",745671,0,0.4344,0.5656,0,594014,0.649,0.351,0.0626,0.1901,0.016,0.0858,0.002,
"8",745671,0,0.3205,0.6795,0,569673,0.7268,0.2732,0.0818,0.1448,0.0237,0.0237,0.001,
"9",745672,0,0.4586,0.5414,0,570806,0.5898,0.4102,0.1073,0.2457,0.0277,0.0383,0.0038,
"10",745670,0,0.2967,0.7033,0,585700,0.7852,0.2148,0.0628,0.1051,0.0242,0.0232,0.0011,
"11",745671,0,0.4358,0.5642,0,609830,0.8466,0.1534,0.0616,0.0401,0.0129,0.0352,0.0022,
"12",745671,0,0.642,0.358,0,564821,0.4375,0.5625,0.1328,0.3596,0.061,0.0204,0.0014,
"13",745670,0,0.4994,0.5006,0,559753,0.6176,0.3824,0.1121,0.2204,0.0329,0.0219,0.0015,
"14",745671,0,0.569,0.431,0,580996,0.6035,0.3965,0.1116,0.2068,0.0634,0.0192,0.0012,
"Summary",745671,0,0.4876,0.5124,0,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
