ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",773585,0,0.6224,0.3776,0,604707,0.6305,0.3695,0.1263,0.1784,0.06,0.0163,0.0016,
"2",773584,0,0.4695,0.5305,0,616758,0.6738,0.3262,0.1478,0.1264,0.0425,0.0196,0.0017,
"3",773586,0,0.5614,0.4386,0,614191,0.6588,0.3412,0.0979,0.1418,0.0917,0.0136,0.0014,
"4",773586,0,0.3726,0.6274,0,589130,0.8197,0.1803,0.0909,0.0422,0.0325,0.0115,0.0008,
"5",773585,0,0.5524,0.4476,0,610580,0.6121,0.3879,0.1491,0.0702,0.1667,0.0106,0.0013,
"6",773586,0,0.599,0.401,0,611210,0.4516,0.5484,0.2206,0.1272,0.197,0.0144,0.0015,
"7",773584,0,0.4969,0.5031,0,609441,0.7346,0.2654,0.1079,0.0588,0.087,0.0105,0.001,
"8",773584,0,0.7509,0.2491,0,611790,0.2681,0.7319,0.4895,0.1118,0.1333,0.0223,0.0022,
"9",773584,0,0.6087,0.3913,0,601128,0.4089,0.5911,0.3906,0.1091,0.1012,0.0191,0.0016,
"10",773584,0,0.8241,0.1759,0,597968,0.203,0.797,0.2007,0.5271,0.075,0.0146,0.002,
"11",773584,0,0.5717,0.4283,0,609524,0.6399,0.3601,0.1522,0.078,0.1243,0.0104,0.0011,
"12",773584,0,0.6685,0.3315,0,604883,0.4354,0.5646,0.1919,0.1766,0.1946,0.0144,0.0016,
"Summary",773585,0,0.5771,0.4229,0,606776,0.5447,0.4553,0.1972,0.1453,0.109,0.0148,0.0015,
