ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",776972,0,0.5407,0.4593,0,615769,0.5839,0.4161,0.2362,0.1147,0.0619,0.0186,0.0011,
"2",776971,0,0.4098,0.5902,0,621347,0.7523,0.2477,0.1387,0.0508,0.0511,0.0115,0.0009,
"3",776971,0,0.5633,0.4367,0,614919,0.626,0.374,0.1619,0.0522,0.1541,0.0112,0.0012,
"4",776971,0,0.5556,0.4444,0,610108,0.5468,0.4532,0.2012,0.155,0.0952,0.0123,0.0013,
"5",776971,0,0.8418,0.1582,0,615562,0.1147,0.8853,0.1808,0.5102,0.1708,0.0263,0.0045,
"6",776971,0,0.6416,0.3584,0,637501,0.3079,0.6921,0.1855,0.0506,0.4581,0.0115,0.0018,
"7",776971,0,0.8551,0.1449,0,618686,0.3496,0.6504,0.3587,0.1579,0.1493,0.0252,0.0036,
"8",776971,0,0.7982,0.2018,0,620023,0.2929,0.7071,0.1453,0.486,0.1005,0.0138,0.0021,
"9",776971,0,0.7997,0.2003,0,609653,0.2849,0.7151,0.1202,0.4802,0.1306,0.0128,0.0017,
"10",776971,0,0.7873,0.2127,0,618836,0.5147,0.4853,0.1313,0.0645,0.2846,0.0122,0.0019,
"11",776971,0,0.5534,0.4466,0,613256,0.5506,0.4494,0.2094,0.0993,0.1463,0.0178,0.0018,
"12",776971,0,0.8601,0.1399,0,688448,0.6521,0.3479,0.1109,0.0651,0.1652,0.0087,0.0037,
"13",776971,0,0.9156,0.0844,0,624303,0.1455,0.8545,0.5331,0.3484,0.0546,0.0299,0.0035,
"14",776971,0,0.7772,0.2228,0,624931,0.2454,0.7546,0.4508,0.1152,0.2053,0.0307,0.0026,
"15",776971,0,0.8909,0.1091,0,583680,0.0827,0.9173,0.5854,0.3746,0.0469,0.0317,0.0039,
"16",776971,0,0.7006,0.2994,0,607610,0.3787,0.6213,0.2466,0.3393,0.0556,0.0162,0.0019,
"17",776971,0,0.5668,0.4332,0,584293,0.6114,0.3886,0.1951,0.1151,0.0734,0.0155,0.0013,
"18",776971,0,0.5253,0.4747,0,603809,0.6451,0.3549,0.1777,0.1279,0.0385,0.0195,0.0014,
"19",776972,0,0.5331,0.4669,0,631726,0.8205,0.1795,0.0546,0.0606,0.0424,0.0179,0.0012,
"20",776972,0,0.5729,0.4271,0,624046,0.7537,0.2463,0.0587,0.1035,0.0605,0.0192,0.0016,
"21",776971,0,0.3955,0.6045,0,622570,0.8954,0.1046,0.0268,0.0313,0.0109,0.027,0.0011,
"22",776971,0,0.5814,0.4186,0,624957,0.7882,0.2118,0.0468,0.0925,0.0493,0.0209,0.0013,
"23",776971,0,0.3789,0.6211,0,615387,0.9006,0.0994,0.0297,0.0266,0.0117,0.0235,0.0009,
"24",776971,0,0.3821,0.6179,0,618164,0.885,0.115,0.0357,0.0377,0.0143,0.02,0.0012,
"25",776971,0,0.5978,0.4022,0,619530,0.7082,0.2918,0.0786,0.1547,0.0492,0.0146,0.0012,
"26",776971,0,0.6113,0.3887,0,619021,0.6854,0.3146,0.0606,0.1838,0.0592,0.0162,0.001,
"Summary",776971,0,0.6175,0.3825,0,618774,0.5446,0.4554,0.1819,0.1679,0.1062,0.0186,0.0019,
