State,District,PVI,"Party of
Representative"
Alabama,1st,R+14,Republican
Alabama,2nd,R+16,Democratic
Alabama,3rd,R+9,Republican
Alabama,4th,R+26,Republican
Alabama,5th,R+12,Republican
Alabama,6th,R+29,Republican
Alabama,7th,D+18,Democratic
Alaska,At-large,R+13,Republican
Arizona,1st,R+6,Democratic
Arizona,2nd,R+13,Republican
Arizona,3rd,R+9,Republican
Arizona,4th,D+13,Democratic
Arizona,5th,R+5,Democratic
Arizona,6th,R+15,Republican
Arizona,7th,D+6,Democratic
Arizona,8th,R+4,Democratic
Arkansas,1st,R+8,Democratic
Arkansas,2nd,R+5,Democratic
Arkansas,3rd,R+16,Republican
Arkansas,4th,R+7,Democratic
California,1st,D+13,Democratic
California,2nd,R+11,Republican
California,3rd,R+6,Republican
California,4th,R+10,Republican
California,5th,D+15,Democratic
California,6th,D+23,Democratic
California,7th,D+19,Democratic
California,8th,D+35,Democratic
California,9th,D+37,Democratic
California,10th,D+11,Democratic
California,11th,R+1,Democratic
California,12th,D+23,Democratic
California,13th,D+22,Democratic
California,14th,D+21,Democratic
California,15th,D+15,Democratic
California,16th,D+16,Democratic
California,17th,D+19,Democratic
California,18th,D+4,Democratic
California,19th,R+9,Republican
California,20th,D+5,Democratic
California,21st,R+13,Republican
California,22nd,R+16,Republican
California,23rd,D+12,Democratic
California,24th,R+4,Republican
California,25th,R+6,Republican
California,26th,R+3,Republican
California,27th,D+13,Democratic
California,28th,D+23,Democratic
California,29th,D+14,Democratic
California,30th,D+18,Democratic
California,31st,D+29,Democratic
California,32nd,D+15,Democratic
California,33rd,D+35,Democratic
California,34th,D+22,Democratic
California,35th,D+31,Democratic
California,36th,D+12,Democratic
California,37th,D+26,Democratic
California,38th,D+18,Democratic
California,39th,D+12,Democratic
California,40th,R+8,Republican
California,41st,R+10,Republican
California,42nd,R+10,Republican
California,43rd,D+13,Democratic
California,44th,R+6,Republican
California,45th,R+3,Republican
California,46th,R+6,Republican
California,47th,D+4,Democratic
California,48th,R+6,Republican
California,49th,R+10,Republican
California,50th,R+3,Republican
California,51st,D+8,Democratic
California,52nd,R+9,Republican
California,53rd,D+14,Democratic
Colorado,1st,D+21,Democratic
Colorado,2nd,D+11,Democratic
Colorado,3rd,R+5,Democratic
Colorado,4th,R+6,Democratic
Colorado,5th,R+14,Republican
Colorado,6th,R+8,Republican
Colorado,7th,D+4,Democratic
Connecticut,1st,D+13,Democratic
Connecticut,2nd,D+6,Democratic
Connecticut,3rd,D+9,Democratic
Connecticut,4th,D+5,Democratic
Connecticut,5th,D+2,Democratic
Delaware,At-large,D+7,Republican
District of Columbia,At-large,D+39,Democratic
Florida,1st,R+21,Republican
Florida,2nd,R+6,Democratic
Florida,3rd,D+18,Democratic
Florida,4th,R+17,Republican
Florida,5th,R+9,Republican
Florida,6th,R+10,Republican
Florida,7th,R+7,Republican
Florida,8th,R+2,Democratic
Florida,9th,R+6,Republican
Florida,10th,R+1,Republican
Florida,11th,D+11,Democratic
Florida,12th,R+6,Republican
Florida,13th,R+6,Republican
Florida,14th,R+11,Republican
Florida,15th,R+6,Republican
Florida,16th,R+5,Republican
Florida,17th,D+34,Democratic
Florida,18th,R+3,Republican
Florida,19th,D+15,Democratic
Florida,20th,D+13,Democratic
Florida,21st,R+5,Republican
Florida,22nd,D+1,Democratic
Florida,23rd,D+28,Democratic
Florida,24th,R+4,Democratic
Florida,25th,R+5,Republican
Georgia,1st,R+16,Republican
Georgia,2nd,D+1,Democratic
Georgia,3rd,R+19,Republican
Georgia,4th,D+24,Democratic
Georgia,5th,D+26,Democratic
Georgia,6th,R+19,Republican
Georgia,7th,R+16,Republican
Georgia,8th,R+10,Democratic
Georgia,9th,R+28,Republican
Georgia,10th,R+15,Republican
Georgia,11th,R+20,Republican
Georgia,12th,D+1,Democratic
Georgia,13th,D+15,Democratic
Hawaii,1st,D+11,Republican
Hawaii,2nd,D+14,Democratic
Idaho,1st,R+18,Democratic
Idaho,2nd,R+17,Republican
Illinois,1st,D+34,Democratic
Illinois,2nd,D+36,Democratic
Illinois,3rd,D+11,Democratic
Illinois,4th,D+32,Democratic
Illinois,5th,D+19,Democratic
Illinois,6th,EVEN,Republican
Illinois,7th,D+35,Democratic
Illinois,8th,R+1,Democratic
Illinois,9th,D+20,Democratic
Illinois,10th,D+6,Republican
Illinois,11th,R+1,Democratic
Illinois,12th,D+3,Democratic
Illinois,13th,R+1,Republican
Illinois,14th,R+1,Democratic
Illinois,15th,R+6,Republican
Illinois,16th,R+2,Republican
Illinois,17th,D+3,Democratic
Illinois,18th,R+6,Republican
Illinois,19th,R+9,Republican
Indiana,1st,D+8,Democratic
Indiana,2nd,R+2,Democratic
Indiana,3rd,R+14,Republican
Indiana,4th,R+14,Republican
Indiana,5th,R+17,Republican
Indiana,6th,R+10,Republican
Indiana,7th,D+14,Democratic
Indiana,8th,R+8,Democratic
Indiana,9th,R+6,Democratic
Iowa,1st,D+5,Democratic
Iowa,2nd,D+7,Democratic
Iowa,3rd,D+1,Democratic
Iowa,4th,EVEN,Republican
Iowa,5th,R+9,Republican
Kansas,1st,R+23,Republican
Kansas,2nd,R+9,Republican
Kansas,3rd,R+3,Democratic
Kansas,4th,R+14,Republican
Kentucky,1st,R+15,Republican
Kentucky,2nd,R+15,Republican
Kentucky,3rd,D+2,Democratic
Kentucky,4th,R+14,Republican
Kentucky,5th,R+16,Republican
Kentucky,6th,R+9,Democratic
Louisiana,1st,R+24,Republican
Louisiana,2nd,D+25,Republican
Louisiana,3rd,R+12,Democratic
Louisiana,4th,R+11,Republican
