District,PVI,Representative
Alabama 1,R+16,Republican
Alabama 2,R+17,Republican
Alabama 3,R+18,Republican
Alabama 4,R+34,Republican
Alabama 5,R+17,Republican
Alabama 6,R+22,Republican
Alabama 7,D+19,Democratic
Alaska at-large,R+9,Republican
Arizona 1,R+2,Democratic
Arizona 2,D+2,Democratic
Arizona 3,D+13,Democratic
Arizona 4,R+22,Republican
Arizona 5,R+11,Republican
Arizona 6,R+5,Republican
Arizona 7,D+24,Democratic
Arizona 8,R+11,Republican
Arizona 9,D+9,Democratic
Arkansas 1,R+21,Republican
Arkansas 2,R+7,Republican
Arkansas 3,R+17,Republican
Arkansas 4,R+20,Republican
California 1,R+11,Republican
California 2,D+23,Democratic
California 3,D+5,Democratic
California 4,R+8,Republican
California 5,D+22,Democratic
California 6,D+21,Democratic
California 7,D+5,Democratic
California 8,R+8,Republican
California 9,D+8,Democratic
California 10,EVEN,Democratic
California 11,D+24,Democratic
California 12,D+38,Democratic
California 13,D+40,Democratic
California 14,D+28,Democratic
California 15,D+22,Democratic
California 16,D+9,Democratic
California 17,D+24,Democratic
California 18,D+27,Democratic
California 19,D+23,Democratic
California 20,D+23,Democratic
California 21,D+5,Republican
California 22,R+6,Republican
California 23,R+12,Republican
California 24,D+10,Democratic
California 25,D+3,Republican
California 26,D+10,Democratic
California 27,D+18,Democratic
California 28,D+23,Democratic
California 29,D+27,Democratic
California 30,D+20,Democratic
California 31,D+9,Democratic
California 32,D+17,Democratic
California 33,D+19,Democratic
California 34,D+34,Democratic
California 35,D+17,Democratic
California 36,D+4,Democratic
California 37,D+36,Democratic
California 38,D+17,Democratic
California 39,D+3,Republican
California 40,D+31,Democratic
California 41,D+12,Democratic
California 42,R+7,Republican
California 43,D+29,Democratic
California 44,D+32,Democratic
California 45,D+3,Democratic
California 46,D+16,Democratic
California 47,D+14,Democratic
California 48,R+1,Republican
California 49,D+4,Democratic
California 50,R+8,Republican
California 51,D+20,Democratic
California 52,D+12,Democratic
California 53,D+17,Democratic
Colorado 1,D+24,Democratic
Colorado 2,D+12,Democratic
Colorado 3,R+6,Republican
Colorado 4,R+12,Republican
Colorado 5,R+12,Republican
Colorado 6,D+6,Democratic
Colorado 7,D+7,Democratic
Connecticut 1,D+11,Democratic
Connecticut 2,D+2,Democratic
Connecticut 3,D+8,Democratic
Connecticut 4,D+12,Democratic
Connecticut 5,D+2,Democratic
Delaware at-large,D+6,Democratic
Florida 1,R+20,Republican
Florida 2,R+20,Republican
Florida 3,R+9,Republican
Florida 4,R+14,Republican
Florida 5,D+12,Democratic
Florida 6,R+10,Republican
Florida 7,D+3,Democratic
Florida 8,R+12,Republican
Florida 9,D+3,Democratic
Florida 10,D+12,Democratic
Florida 11,R+18,Republican
Florida 12,R+11,Republican
Florida 13,EVEN,Democratic
Florida 14,D+7,Democratic
Florida 15,R+6,Republican
Florida 16,R+7,Republican
Florida 17,R+16,Republican
Florida 18,R+6,Republican
Florida 19,R+12,Republican
Florida 20,D+28,Democratic
Florida 21,D+8,Democratic
Florida 22,D+6,Democratic
Florida 23,D+9,Democratic
Florida 24,D+28,Democratic
Florida 25,R+8,Republican
Florida 26,D+1,Republican
Florida 27,D+4,Republican
Georgia 1,R+9,Republican
Georgia 2,D+4,Democratic
Georgia 3,R+16,Republican
Georgia 4,D+27,Democratic
Georgia 5,D+36,Democratic
Georgia 6,D+1,Democratic
Georgia 7,R+2,Democratic
Georgia 8,R+15,Republican
Georgia 9,R+30,Republican
Georgia 10,R+13,Republican
Georgia 11,R+12,Republican
Georgia 12,R+9,Republican
Georgia 13,D+23,Democratic
Georgia 14,R+28,Republican
Hawaii 1,D+14,Democratic
Hawaii 2,D+15,Democratic
Idaho 1,R+22,Republican
Idaho 2,R+15,Republican
Illinois 1,D+25,Democratic
Illinois 2,D+28,Democratic
Illinois 3,D+6,Democratic
Illinois 4,D+33,Democratic
Illinois 5,D+22,Democratic
Illinois 6,D+3,Democratic
Illinois 7,D+37,Democratic
Illinois 8,D+9,Democratic
Illinois 9,D+21,Democratic
Illinois 10,D+14,Democratic
Illinois 11,D+11,Democratic
Illinois 12,R+9,Republican
Illinois 13,R+4,Republican
Illinois 14,R+2,Democratic
Illinois 15,R+26,Republican
Illinois 16,R+10,Republican
Illinois 17,R+2,Democratic
Illinois 18,R+15,Republican
Indiana 1,D+4,Democratic
Indiana 2,R+13,Republican
Indiana 3,R+19,Republican
Indiana 4,R+18,Republican
Indiana 5,R+5,Republican
Indiana 6,R+22,Republican
Indiana 7,D+11,Democratic
Indiana 8,R+19,Republican
Indiana 9,R+15,Republican
Iowa 1,R+4,Republican
Iowa 2,R+4,Republican
Iowa 3,R+3,Democratic
Iowa 4,R+16,Republican
Kansas 1,R+24,Republican
Kansas 2,R+10,Republican
Kansas 3,D+1,Democratic
Kansas 4,R+15,Republican
Kentucky 1,R+26,Republican
Kentucky 2,R+22,Republican
Kentucky 3,D+8,Democratic
Kentucky 4,R+19,Republican
Kentucky 5,R+33,Republican
Kentucky 6,R+8,Republican
Louisiana 1,R+22,Republican
Louisiana 2,D+25,Democratic
Louisiana 3,R+21,Republican
Louisiana 4,R+14,Republican
Louisiana 5,R+17,Republican
Louisiana 6,R+18,Republican
Maine 1,D+8,Democratic
Maine 2,R+6,Democratic
