ST#,PVI,metric,year,congress
AL1,R+12,0.56,2004,109
AL2,R+13,0.565,2004,109
AL3,R+4,0.52,2004,109
AL4,R+16,0.58,2004,109
AL5,R+6,0.53,2004,109
AL6,R+25,0.625,2004,109
AL7,D+17,0.415,2004,109
AKAL,R+14,0.57,2004,109
AZ1,R+2,0.51,2004,109
AZ2,R+9,0.545,2004,109
AZ3,R+6,0.53,2004,109
AZ4,D+14,0.43,2004,109
AZ5,R+4,0.52,2004,109
AZ6,R+12,0.56,2004,109
AZ7,D+10,0.45,2004,109
AZ8,R+1,0.505,2004,109
AR1,D+1,0.495,2004,109
AR2,R+0,0.5,2004,109
AR3,R+11,0.555,2004,109
AR4,D+0,0.5,2004,109
CA1,D+10,0.45,2004,109
CA2,R+13,0.565,2004,109
CA3,R+7,0.535,2004,109
CA4,R+11,0.555,2004,109
CA5,D+14,0.43,2004,109
CA6,D+21,0.395,2004,109
CA7,D+19,0.405,2004,109
CA8,D+36,0.32,2004,109
CA9,D+38,0.31,2004,109
CA10,D+9,0.455,2004,109
CA11,R+3,0.515,2004,109
CA12,D+22,0.39,2004,109
CA13,D+22,0.39,2004,109
CA14,D+18,0.41,2004,109
CA15,D+14,0.43,2004,109
CA16,D+16,0.42,2004,109
CA17,D+17,0.415,2004,109
CA18,D+3,0.485,2004,109
CA19,R+10,0.55,2004,109
CA20,D+5,0.475,2004,109
CA21,R+13,0.565,2004,109
CA22,R+16,0.58,2004,109
CA23,D+9,0.455,2004,109
CA24,R+5,0.525,2004,109
CA25,R+7,0.535,2004,109
CA26,R+4,0.52,2004,109
CA27,D+13,0.435,2004,109
CA28,D+25,0.375,2004,109
CA29,D+12,0.44,2004,109
CA30,D+20,0.4,2004,109
CA31,D+30,0.35,2004,109
CA32,D+17,0.415,2004,109
CA33,D+36,0.32,2004,109
CA34,D+23,0.385,2004,109
CA35,D+33,0.335,2004,109
CA36,D+11,0.445,2004,109
CA37,D+27,0.365,2004,109
CA38,D+20,0.4,2004,109
CA39,D+13,0.435,2004,109
CA40,R+8,0.54,2004,109
CA41,R+9,0.545,2004,109
