state,map,district,metric,value,map_approved
AK,117,01,competitive,0.0,False
AK,117,AL,pvi,-14.62028,False
AK,117,statewide,efficiency_gap,-39.4764480157333,False
AK,117,statewide,median,0.0,False
AK,approved,AL,pvi,-14.62028,False
AL,117,01,competitive,0.0,False
AL,117,01,pvi,-31.93851,False
AL,117,02,competitive,0.0,False
AL,117,02,pvi,-33.01281,False
AL,117,03,competitive,0.0,False
AL,117,03,pvi,-35.23648,False
AL,117,04,competitive,0.0,False
AL,117,04,pvi,-66.45895,False
AL,117,05,competitive,0.0,False
AL,117,05,pvi,-32.37688,False
AL,117,06,competitive,0.0,False
AL,117,06,pvi,-41.60968,False
AL,117,07,competitive,0.0,False
AL,117,07,pvi,38.71875,False
AL,117,statewide,efficiency_gap,-11.279849379669,False
AL,117,statewide,median,-3.41843,False
AL,committee_proposal_1,01,competitive,0.0,True
AL,committee_proposal_1,01,pvi,-31.7838001451378,True
AL,committee_proposal_1,01,vap_race_white,66.0,True
AL,committee_proposal_1,01,vap_race_black,24.64,True
AL,committee_proposal_1,01,vap_race_hispanic,3.23,True
AL,committee_proposal_1,01,vap_race_asian,1.49,True
AL,committee_proposal_1,01,vap_race_other,4.64,True
AL,committee_proposal_1,02,competitive,0.0,True
AL,committee_proposal_1,02,pvi,-33.5843477464723,True
AL,committee_proposal_1,02,vap_race_white,62.03,True
AL,committee_proposal_1,02,vap_race_black,29.03,True
AL,committee_proposal_1,02,vap_race_hispanic,3.57,True
AL,committee_proposal_1,02,vap_race_asian,1.85,True
AL,committee_proposal_1,02,vap_race_other,3.52,True
AL,committee_proposal_1,03,competitive,0.0,True
AL,committee_proposal_1,03,pvi,-39.1149212429062,True
AL,committee_proposal_1,03,vap_race_white,67.74,True
AL,committee_proposal_1,03,vap_race_black,24.04,True
AL,committee_proposal_1,03,vap_race_hispanic,3.07,True
AL,committee_proposal_1,03,vap_race_asian,1.74,True
AL,committee_proposal_1,03,vap_race_other,3.41,True
AL,committee_proposal_1,04,competitive,0.0,True
AL,committee_proposal_1,04,pvi,-64.9188964026591,True
AL,committee_proposal_1,04,vap_race_white,82.41,True
AL,committee_proposal_1,04,vap_race_black,7.1,True
AL,committee_proposal_1,04,vap_race_hispanic,5.66,True
AL,committee_proposal_1,04,vap_race_asian,0.61,True
AL,committee_proposal_1,04,vap_race_other,4.22,True
AL,committee_proposal_1,05,competitive,0.0,True
AL,committee_proposal_1,05,pvi,-32.1466495804131,True
AL,committee_proposal_1,05,vap_race_white,70.89,True
AL,committee_proposal_1,05,vap_race_black,16.93,True
AL,committee_proposal_1,05,vap_race_hispanic,5.28,True
AL,committee_proposal_1,05,vap_race_asian,1.91,True
AL,committee_proposal_1,05,vap_race_other,4.99,True
AL,committee_proposal_1,06,competitive,0.0,True
AL,committee_proposal_1,06,pvi,-35.9854484823054,True
AL,committee_proposal_1,06,vap_race_white,71.16,True
AL,committee_proposal_1,06,vap_race_black,18.18,True
AL,committee_proposal_1,06,vap_race_hispanic,5.38,True
