state,map,district,metric,value,map_approved
AL,committee_proposal_1,1,competitive,0,TRUE
AL,committee_proposal_1,1,pvi,-31.7838001451378,TRUE
AL,committee_proposal_1,1,vap_race_white,66,TRUE
AL,committee_proposal_1,1,vap_race_black,24.64,TRUE
AL,committee_proposal_1,1,vap_race_hispanic,3.23,TRUE
AL,committee_proposal_1,1,vap_race_asian,1.49,TRUE
AL,committee_proposal_1,1,vap_race_other,4.64,TRUE
AL,committee_proposal_1,2,competitive,0,TRUE
AL,committee_proposal_1,2,pvi,-33.5843477464723,TRUE
AL,committee_proposal_1,2,vap_race_white,62.03,TRUE
AL,committee_proposal_1,2,vap_race_black,29.03,TRUE
AL,committee_proposal_1,2,vap_race_hispanic,3.57,TRUE
AL,committee_proposal_1,2,vap_race_asian,1.85,TRUE
AL,committee_proposal_1,2,vap_race_other,3.52,TRUE
AL,committee_proposal_1,3,competitive,0,TRUE
AL,committee_proposal_1,3,pvi,-39.1149212429062,TRUE
AL,committee_proposal_1,3,vap_race_white,67.74,TRUE
AL,committee_proposal_1,3,vap_race_black,24.04,TRUE
AL,committee_proposal_1,3,vap_race_hispanic,3.07,TRUE
AL,committee_proposal_1,3,vap_race_asian,1.74,TRUE
AL,committee_proposal_1,3,vap_race_other,3.41,TRUE
AL,committee_proposal_1,4,competitive,0,TRUE
AL,committee_proposal_1,4,pvi,-64.9188964026591,TRUE
AL,committee_proposal_1,4,vap_race_white,82.41,TRUE
AL,committee_proposal_1,4,vap_race_black,7.1,TRUE
AL,committee_proposal_1,4,vap_race_hispanic,5.66,TRUE
AL,committee_proposal_1,4,vap_race_asian,0.61,TRUE
AL,committee_proposal_1,4,vap_race_other,4.22,TRUE
AL,committee_proposal_1,5,competitive,0,TRUE
AL,committee_proposal_1,5,pvi,-32.1466495804131,TRUE
AL,committee_proposal_1,5,vap_race_white,70.89,TRUE
AL,committee_proposal_1,5,vap_race_black,16.93,TRUE
AL,committee_proposal_1,5,vap_race_hispanic,5.28,TRUE
AL,committee_proposal_1,5,vap_race_asian,1.91,TRUE
AL,committee_proposal_1,5,vap_race_other,4.99,TRUE
AL,committee_proposal_1,6,competitive,0,TRUE
AL,committee_proposal_1,6,pvi,-35.9854484823054,TRUE
AL,committee_proposal_1,6,vap_race_white,71.16,TRUE
AL,committee_proposal_1,6,vap_race_black,18.18,TRUE
AL,committee_proposal_1,6,vap_race_hispanic,5.38,TRUE
AL,committee_proposal_1,6,vap_race_asian,1.9,TRUE
AL,committee_proposal_1,6,vap_race_other,3.38,TRUE
AL,committee_proposal_1,7,competitive,0,TRUE
AL,committee_proposal_1,7,pvi,28.6403749737858,TRUE
AL,committee_proposal_1,7,vap_race_white,38.6,TRUE
AL,committee_proposal_1,7,vap_race_black,54.03,TRUE
AL,committee_proposal_1,7,vap_race_hispanic,3.65,TRUE
AL,committee_proposal_1,7,vap_race_asian,1.23,TRUE
AL,committee_proposal_1,7,vap_race_other,2.48,TRUE
AL,committee_proposal_1,statewide,efficiency_gap,-9.81879226275255,TRUE
AL,committee_proposal_1,statewide,median,-3.98996774647231,TRUE
AR,sb743,1,competitive,0,TRUE
AR,sb743,1,pvi,-43.6975917659991,TRUE
AR,sb743,1,vap_race_white,75.76,TRUE
AR,sb743,1,vap_race_black,16.18,TRUE
AR,sb743,1,vap_race_hispanic,3.13,TRUE
AR,sb743,1,vap_race_asian,0.71,TRUE
AR,sb743,1,vap_race_other,4.23,TRUE
AR,sb743,2,competitive,0,TRUE
AR,sb743,2,pvi,-17.2489951892046,TRUE
AR,sb743,2,vap_race_white,69.12,TRUE
AR,sb743,2,vap_race_black,19.09,TRUE
AR,sb743,2,vap_race_hispanic,5.15,TRUE
AR,sb743,2,vap_race_asian,1.81,TRUE
AR,sb743,2,vap_race_other,4.83,TRUE
AR,sb743,3,competitive,0,TRUE
AR,sb743,3,pvi,-28.9469578710097,TRUE
AR,sb743,3,vap_race_white,71.62,TRUE
AR,sb743,3,vap_race_black,2.79,TRUE
AR,sb743,3,vap_race_hispanic,13.89,TRUE
AR,sb743,3,vap_race_asian,3.57,TRUE
AR,sb743,3,vap_race_other,8.13,TRUE
AR,sb743,4,competitive,0,TRUE
AR,sb743,4,pvi,-39.2125516902115,TRUE
AR,sb743,4,vap_race_white,69.62,TRUE
AR,sb743,4,vap_race_black,18.93,TRUE
AR,sb743,4,vap_race_hispanic,6.03,TRUE
AR,sb743,4,vap_race_asian,0.82,TRUE
AR,sb743,4,vap_race_other,4.61,TRUE
AR,sb743,statewide,efficiency_gap,-21.3735598076159,TRUE
AR,sb743,statewide,median,-2.2433447806106,TRUE
AZ,adopted,1,competitive,0,TRUE
AZ,adopted,1,pvi,-6.78645736297303,TRUE
AZ,adopted,1,vap_race_white,73.65,TRUE
AZ,adopted,1,vap_race_black,2.99,TRUE
AZ,adopted,1,vap_race_hispanic,13.86,TRUE
AZ,adopted,1,vap_race_asian,4.39,TRUE
AZ,adopted,1,vap_race_other,5.11,TRUE
AZ,adopted,2,competitive,0,TRUE
AZ,adopted,2,pvi,-15.3737000095859,TRUE
AZ,adopted,2,vap_race_white,60.03,TRUE
AZ,adopted,2,vap_race_black,2.02,TRUE
AZ,adopted,2,vap_race_hispanic,14.64,TRUE
AZ,adopted,2,vap_race_asian,1.3,TRUE
AZ,adopted,2,vap_race_other,22,TRUE
AZ,adopted,3,competitive,0,TRUE
AZ,adopted,3,pvi,43.9103225866484,TRUE
AZ,adopted,3,vap_race_white,23.79,TRUE
AZ,adopted,3,vap_race_black,10.1,TRUE
AZ,adopted,3,vap_race_hispanic,58.2,TRUE
AZ,adopted,3,vap_race_asian,2.85,TRUE
AZ,adopted,3,vap_race_other,5.06,TRUE
AZ,adopted,4,competitive,1,TRUE
AZ,adopted,4,pvi,1.19055579833345,TRUE
AZ,adopted,4,vap_race_white,59.42,TRUE
AZ,adopted,4,vap_race_black,5.09,TRUE
AZ,adopted,4,vap_race_hispanic,23.14,TRUE
AZ,adopted,4,vap_race_asian,5.94,TRUE
AZ,adopted,4,vap_race_other,6.41,TRUE
AZ,adopted,5,competitive,0,TRUE
AZ,adopted,5,pvi,-24.1790480551575,TRUE
AZ,adopted,5,vap_race_white,70.41,TRUE
AZ,adopted,5,vap_race_black,3.47,TRUE
AZ,adopted,5,vap_race_hispanic,15.37,TRUE
AZ,adopted,5,vap_race_asian,5.99,TRUE
AZ,adopted,5,vap_race_other,4.76,TRUE
AZ,adopted,6,competitive,0,TRUE
AZ,adopted,6,pvi,-7.20600607021392,TRUE
AZ,adopted,6,vap_race_white,67.34,TRUE
AZ,adopted,6,vap_race_black,3.2,TRUE
AZ,adopted,6,vap_race_hispanic,21.31,TRUE
AZ,adopted,6,vap_race_asian,3.06,TRUE
AZ,adopted,6,vap_race_other,5.09,TRUE
AZ,adopted,7,competitive,0,TRUE
AZ,adopted,7,pvi,26.7439960591021,TRUE
AZ,adopted,7,vap_race_white,32.9,TRUE
AZ,adopted,7,vap_race_black,3.85,TRUE
AZ,adopted,7,vap_race_hispanic,55.48,TRUE
AZ,adopted,7,vap_race_asian,2.15,TRUE
AZ,adopted,7,vap_race_other,5.62,TRUE
AZ,adopted,8,competitive,0,TRUE
AZ,adopted,8,pvi,-21.8052349073114,TRUE
AZ,adopted,8,vap_race_white,68.64,TRUE
AZ,adopted,8,vap_race_black,4.22,TRUE
AZ,adopted,8,vap_race_hispanic,18.09,TRUE
AZ,adopted,8,vap_race_asian,4.31,TRUE
AZ,adopted,8,vap_race_other,4.73,TRUE
AZ,adopted,9,competitive,0,TRUE
AZ,adopted,9,pvi,-33.3810710502837,TRUE
AZ,adopted,9,vap_race_white,62.28,TRUE
AZ,adopted,9,vap_race_black,4.07,TRUE
AZ,adopted,9,vap_race_hispanic,25.81,TRUE
AZ,adopted,9,vap_race_asian,2.45,TRUE
AZ,adopted,9,vap_race_other,5.4,TRUE
AZ,adopted,statewide,efficiency_gap,2.32069715049939,TRUE
AZ,adopted,statewide,median,0.381533929786081,TRUE
CA,commission_approved,1,competitive,0,TRUE
CA,commission_approved,1,pvi,-24.4644976869216,TRUE
CA,commission_approved,1,vap_race_white,65.33,TRUE
CA,commission_approved,1,vap_race_black,1.8,TRUE
CA,commission_approved,1,vap_race_hispanic,19.53,TRUE
CA,commission_approved,1,vap_race_asian,5.53,TRUE
CA,commission_approved,1,vap_race_other,7.81,TRUE
CA,commission_approved,2,competitive,0,TRUE
CA,commission_approved,2,pvi,44.4344245721872,TRUE
CA,commission_approved,2,vap_race_white,68.4,TRUE
CA,commission_approved,2,vap_race_black,1.71,TRUE
CA,commission_approved,2,vap_race_hispanic,17.91,TRUE
CA,commission_approved,2,vap_race_asian,4.43,TRUE
CA,commission_approved,2,vap_race_other,7.56,TRUE
CA,commission_approved,3,competitive,0,TRUE
CA,commission_approved,3,pvi,-7.70618362900552,TRUE
CA,commission_approved,3,vap_race_white,72.32,TRUE
CA,commission_approved,3,vap_race_black,1.6,TRUE
CA,commission_approved,3,vap_race_hispanic,12.39,TRUE
CA,commission_approved,3,vap_race_asian,7.11,TRUE
CA,commission_approved,3,vap_race_other,6.58,TRUE
CA,commission_approved,4,competitive,0,TRUE
CA,commission_approved,4,pvi,31.2403081507213,TRUE
CA,commission_approved,4,vap_race_white,55.32,TRUE
CA,commission_approved,4,vap_race_black,2.99,TRUE
CA,commission_approved,4,vap_race_hispanic,27.54,TRUE
CA,commission_approved,4,vap_race_asian,8.04,TRUE
CA,commission_approved,4,vap_race_other,6.1,TRUE
CA,commission_approved,5,competitive,0,TRUE
CA,commission_approved,5,pvi,-17.0528236593082,TRUE
CA,commission_approved,5,vap_race_white,63.03,TRUE
CA,commission_approved,5,vap_race_black,2.24,TRUE
CA,commission_approved,5,vap_race_hispanic,22.32,TRUE
CA,commission_approved,5,vap_race_asian,6.01,TRUE
CA,commission_approved,5,vap_race_other,6.39,TRUE
CA,commission_approved,6,competitive,0,TRUE
CA,commission_approved,6,pvi,13.9516333365781,TRUE
CA,commission_approved,6,vap_race_white,51.14,TRUE
CA,commission_approved,6,vap_race_black,8.78,TRUE
CA,commission_approved,6,vap_race_hispanic,20.33,TRUE
CA,commission_approved,6,vap_race_asian,11.99,TRUE
CA,commission_approved,6,vap_race_other,7.77,TRUE
CA,commission_approved,7,competitive,0,TRUE
CA,commission_approved,7,pvi,33.6861881550347,TRUE
CA,commission_approved,7,vap_race_white,35,TRUE
CA,commission_approved,7,vap_race_black,10.1,TRUE
CA,commission_approved,7,vap_race_hispanic,24.06,TRUE
CA,commission_approved,7,vap_race_asian,23.13,TRUE
CA,commission_approved,7,vap_race_other,7.69,TRUE
CA,commission_approved,8,competitive,0,TRUE
CA,commission_approved,8,pvi,50.3945779285621,TRUE
CA,commission_approved,8,vap_race_white,26.94,TRUE
CA,commission_approved,8,vap_race_black,15.3,TRUE
CA,commission_approved,8,vap_race_hispanic,31.53,TRUE
CA,commission_approved,8,vap_race_asian,19.66,TRUE
CA,commission_approved,8,vap_race_other,6.58,TRUE
CA,commission_approved,9,competitive,0,TRUE
CA,commission_approved,9,pvi,8.48635774729367,TRUE
CA,commission_approved,9,vap_race_white,32.64,TRUE
CA,commission_approved,9,vap_race_black,7.45,TRUE
CA,commission_approved,9,vap_race_hispanic,37.6,TRUE
CA,commission_approved,9,vap_race_asian,16.92,TRUE
CA,commission_approved,9,vap_race_other,5.39,TRUE
CA,commission_approved,10,competitive,0,TRUE
CA,commission_approved,10,pvi,34.0297142314612,TRUE
CA,commission_approved,10,vap_race_white,51.29,TRUE
CA,commission_approved,10,vap_race_black,4.55,TRUE
CA,commission_approved,10,vap_race_hispanic,16.65,TRUE
CA,commission_approved,10,vap_race_asian,21.69,TRUE
CA,commission_approved,10,vap_race_other,5.82,TRUE
CA,commission_approved,11,competitive,0,TRUE
CA,commission_approved,11,pvi,71.2412330875074,TRUE
CA,commission_approved,11,vap_race_white,44.64,TRUE
CA,commission_approved,11,vap_race_black,5.17,TRUE
CA,commission_approved,11,vap_race_hispanic,13.19,TRUE
CA,commission_approved,11,vap_race_asian,31.34,TRUE
CA,commission_approved,11,vap_race_other,5.66,TRUE
CA,commission_approved,12,competitive,0,TRUE
CA,commission_approved,12,pvi,76.5401840539081,TRUE
CA,commission_approved,12,vap_race_white,35.19,TRUE
CA,commission_approved,12,vap_race_black,15.48,TRUE
CA,commission_approved,12,vap_race_hispanic,21.18,TRUE
CA,commission_approved,12,vap_race_asian,21.78,TRUE
CA,commission_approved,12,vap_race_other,6.37,TRUE
CA,commission_approved,13,competitive,0,TRUE
CA,commission_approved,13,pvi,7.22718021180434,TRUE
CA,commission_approved,13,vap_race_white,25.86,TRUE
CA,commission_approved,13,vap_race_black,3.11,TRUE
CA,commission_approved,13,vap_race_hispanic,60.72,TRUE
CA,commission_approved,13,vap_race_asian,6.63,TRUE
CA,commission_approved,13,vap_race_other,3.69,TRUE
CA,commission_approved,14,competitive,0,TRUE
CA,commission_approved,14,pvi,41.7683407895767,TRUE
CA,commission_approved,14,vap_race_white,28.16,TRUE
CA,commission_approved,14,vap_race_black,5.29,TRUE
CA,commission_approved,14,vap_race_hispanic,22.76,TRUE
CA,commission_approved,14,vap_race_asian,38.12,TRUE
CA,commission_approved,14,vap_race_other,5.67,TRUE
CA,commission_approved,15,competitive,0,TRUE
CA,commission_approved,15,pvi,53.9487605396568,TRUE
CA,commission_approved,15,vap_race_white,30.18,TRUE
CA,commission_approved,15,vap_race_black,2.69,TRUE
CA,commission_approved,15,vap_race_hispanic,24.65,TRUE
CA,commission_approved,15,vap_race_asian,37.11,TRUE
CA,commission_approved,15,vap_race_other,5.37,TRUE
CA,commission_approved,16,competitive,0,TRUE
CA,commission_approved,16,pvi,49.3922408325812,TRUE
CA,commission_approved,16,vap_race_white,46.29,TRUE
CA,commission_approved,16,vap_race_black,1.97,TRUE
CA,commission_approved,16,vap_race_hispanic,17.36,TRUE
CA,commission_approved,16,vap_race_asian,29.59,TRUE
CA,commission_approved,16,vap_race_other,4.79,TRUE
CA,commission_approved,17,competitive,0,TRUE
CA,commission_approved,17,pvi,45.4387415482336,TRUE
CA,commission_approved,17,vap_race_white,22.85,TRUE
CA,commission_approved,17,vap_race_black,2,TRUE
CA,commission_approved,17,vap_race_hispanic,15.07,TRUE
CA,commission_approved,17,vap_race_asian,56.37,TRUE
CA,commission_approved,17,vap_race_other,3.71,TRUE
CA,commission_approved,18,competitive,0,TRUE
CA,commission_approved,18,pvi,41.5364007954968,TRUE
CA,commission_approved,18,vap_race_white,21.3,TRUE
CA,commission_approved,18,vap_race_black,2.15,TRUE
CA,commission_approved,18,vap_race_hispanic,60.76,TRUE
CA,commission_approved,18,vap_race_asian,12.44,TRUE
CA,commission_approved,18,vap_race_other,3.35,TRUE
CA,commission_approved,19,competitive,0,TRUE
CA,commission_approved,19,pvi,35.4423788151414,TRUE
CA,commission_approved,19,vap_race_white,51.71,TRUE
CA,commission_approved,19,vap_race_black,2.23,TRUE
CA,commission_approved,19,vap_race_hispanic,21.98,TRUE
CA,commission_approved,19,vap_race_asian,18.6,TRUE
CA,commission_approved,19,vap_race_other,5.48,TRUE
CA,commission_approved,20,competitive,0,TRUE
CA,commission_approved,20,pvi,-30.677098143874,TRUE
CA,commission_approved,20,vap_race_white,53.39,TRUE
CA,commission_approved,20,vap_race_black,3.33,TRUE
CA,commission_approved,20,vap_race_hispanic,30.13,TRUE
CA,commission_approved,20,vap_race_asian,7.52,TRUE
CA,commission_approved,20,vap_race_other,5.64,TRUE
CA,commission_approved,21,competitive,0,TRUE
CA,commission_approved,21,pvi,16.0035558523331,TRUE
CA,commission_approved,21,vap_race_white,21.15,TRUE
CA,commission_approved,21,vap_race_black,4.7,TRUE
CA,commission_approved,21,vap_race_hispanic,60.72,TRUE
CA,commission_approved,21,vap_race_asian,10.15,TRUE
CA,commission_approved,21,vap_race_other,3.28,TRUE
CA,commission_approved,22,competitive,0,TRUE
CA,commission_approved,22,pvi,10.0901345077372,TRUE
CA,commission_approved,22,vap_race_white,18.73,TRUE
CA,commission_approved,22,vap_race_black,4.92,TRUE
CA,commission_approved,22,vap_race_hispanic,69.32,TRUE
CA,commission_approved,22,vap_race_asian,4.17,TRUE
CA,commission_approved,22,vap_race_other,2.86,TRUE
CA,commission_approved,23,competitive,0,TRUE
CA,commission_approved,23,pvi,-15.4468118787753,TRUE
CA,commission_approved,23,vap_race_white,44.14,TRUE
