State  ,PVI  
Alabama,R+8
Alaska,R+14
Arizona,R+1
Arkansas,R+3
California,D+6
Colorado,R+1
Connecticut,D+9
Delaware,D+7
District of Columbia,D+39
Florida,D+1
Georgia,R+6
Hawaii,D+9
Idaho,R+19
Illinois,D+9
Indiana,R+7
Iowa,D+1
Kansas,R+11
Kentucky,R+8
Louisiana,R+4
Maine,D+5
Maryland,D+10
Massachusetts,D+15
Michigan,D+4
Minnesota,D+3
Mississippi,R+7
Missouri,R+1
Montana,R+11
Nebraska,R+15
Nevada,D+1
New Hampshire,D+2
New Jersey,D+9
New Mexico,D+1
New York,D+15
North Carolina,R+5
North Dakota,R+13
Ohio,R+0
Oklahoma,R+12
Oregon,D+3
Pennsylvania,D+3
Rhode Island,D+15
South Carolina,R+7
South Dakota,R+10
Tennessee,R+3
Texas,R+8
Utah,R+22
Vermont,D+8
Virginia,R+3
Washington,D+4
West Virginia,R+4
Wisconsin,D+2
Wyoming,R+19
